Date,Familia,Codigo Producto,Projection,Super Familia
2025-01-01,Super Nene,1140NA1016902,0.9481593003132792,Bebé
2025-01-01,Super Nene,1140NA1018902,35.66576062810003,Bebé
2025-01-01,Acqua Microfibra,5533IM6010001,8.581676811988041,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010002,13.59177086445444,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010003,12.347736420126678,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010004,13.891203472642513,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010005,12.749037853780797,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010006,10.958616072862426,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010007,7.964289990981706,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010008,14.138158201045046,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010009,9.260802315095008,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010011,12.378605761176994,Hilos Verano
2025-01-01,Acqua Microfibra,5533IM6010012,5.896044140610488,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010003,35.66334971543088,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010007,11.11604971221904,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010008,12.579256478004051,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010009,11.514264211768126,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010014,13.366424674787128,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010028,23.763218740533787,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010029,12.816950404091491,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010033,27.75153760423471,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010048,22.534618966731184,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010081,25.562901323767257,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010092,26.5321986327472,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010205,48.93099249885698,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010209,33.94392741892823,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010216,16.72500898106158,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010229,58.79992083264324,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010279,25.31285966125969,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010439,43.28807695485909,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010728,29.14374488560399,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010730,36.978383644174365,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010875,22.346315986324257,Hilos Verano
2025-01-01,Cotton Premium,5527IM6010888,44.08141901985224,Hilos Verano
2025-01-01,Cotton Premium,5527IM6011102,137.0969174726665,Hilos Verano
2025-01-01,Cotton Premium,5527IM6011281,22.994572148380904,Hilos Verano
2025-01-01,Cotton Premium,5527IM6011302,93.79649278138726,Hilos Verano
2025-01-01,Cotton Premium,5527IM6012302,15.064238432554545,Hilos Verano
2025-01-01,Cotton Premium,5527IM6012903,29.72100156324491,Hilos Verano
2025-01-01,Cotton Premium,5527IM6013401,32.37885182767718,Hilos Verano
2025-01-01,Cotton Premium,5527IM6013602,71.8483912946121,Hilos Verano
2025-01-01,Cotton Premium,5527IM6013902,11.298178824415908,Hilos Verano
2025-01-01,Cotton Premium,5527IM6014850,21.179454894622285,Hilos Verano
2025-01-01,Cotton Premium,5527IM6016210,37.00307911701462,Hilos Verano
2025-01-01,Cotton Premium,5527IM6016213,32.0207674714935,Hilos Verano
2025-01-01,Cotton Premium,5527IM6016215,47.90304344188144,Hilos Verano
2025-01-01,Cotton Premium,5527IM6016902,11.915565645422245,Hilos Verano
2025-01-01,Cotton Premium,5527IM6018102,33.00858638510364,Hilos Verano
2025-01-01,Cotton Premium,5527IM6018257,35.77756627731704,Hilos Verano
2025-01-01,Cotton Premium,5527IM6018259,73.83328992414746,Hilos Verano
2025-01-01,Cotton Premium,5527IM6018902,78.39269159727924,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010022,5.9269134816608045,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010026,6.513430961616821,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010033,7.007340418421889,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010035,7.686465921528856,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010055,6.142998869013021,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010134,7.223425805774106,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010205,7.624727239428223,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010229,11.29817882441591,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010289,11.359917506516542,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010425,6.389953597415555,Hilos Verano
2025-01-01,Delicia Verano,1320ANV010712,7.809943285730123,Hilos Verano
2025-01-01,Delicia Verano,1320ANV011102,18.984644745944767,Hilos Verano
2025-01-01,Delicia Verano,1320ANV011302,12.841645876931745,Hilos Verano
2025-01-01,Delicia Verano,1320ANV013602,13.675118085290295,Hilos Verano
2025-01-01,Delicia Verano,1320ANV016210,12.903384559032377,Hilos Verano
2025-01-01,Delicia Verano,1320ANV016212,10.279490569755458,Hilos Verano
2025-01-01,Delicia Verano,1320ANV016213,0.1543467052515834,Hilos Verano
2025-01-01,Delicia Verano,1320ANV016215,7.84081262678044,Hilos Verano
2025-01-01,Delicia Verano,1320ANV016402,7.501249875226956,Hilos Verano
2025-01-01,Delicia Verano,1320ANV018102,10.526445298157991,Hilos Verano
2025-01-01,Delicia Verano,1320ANV018902,15.045716827924355,Hilos Verano
2025-01-01,Fresquita,1300ANV010003,21.95736228909026,Hilos Verano
2025-01-01,Fresquita,1300ANV010022,16.53979293475968,Hilos Verano
2025-01-01,Fresquita,1300ANV010026,18.18204187863653,Hilos Verano
2025-01-01,Fresquita,1300ANV010028,20.392286697839207,Hilos Verano
2025-01-01,Fresquita,1300ANV010029,18.8519065794284,Hilos Verano
2025-01-01,Fresquita,1300ANV010033,25.430163157250888,Hilos Verano
2025-01-01,Fresquita,1300ANV010055,13.236773442375796,Hilos Verano
2025-01-01,Fresquita,1300ANV010081,17.864087665818268,Hilos Verano
2025-01-01,Fresquita,1300ANV010205,27.800928549915213,Hilos Verano
2025-01-01,Fresquita,1300ANV010209,51.76788494138109,Hilos Verano
2025-01-01,Fresquita,1300ANV010216,15.002499750453913,Hilos Verano
2025-01-01,Fresquita,1300ANV010223,38.76263155688267,Hilos Verano
2025-01-01,Fresquita,1300ANV010225,31.341641968386536,Hilos Verano
2025-01-01,Fresquita,1300ANV010229,48.74886338666012,Hilos Verano
2025-01-01,Fresquita,1300ANV010231,25.550553587347125,Hilos Verano
2025-01-01,Fresquita,1300ANV010259,8.60019841661823,Hilos Verano
2025-01-01,Fresquita,1300ANV010279,14.916065595513023,Hilos Verano
2025-01-01,Fresquita,1300ANV010281,28.29483800672028,Hilos Verano
2025-01-01,Fresquita,1300ANV010288,11.554394355133535,Hilos Verano
2025-01-01,Fresquita,1300ANV010289,43.15533878834273,Hilos Verano
2025-01-01,Fresquita,1300ANV010425,14.530198832384066,Hilos Verano
2025-01-01,Fresquita,1300ANV010439,25.461032498301208,Hilos Verano
2025-01-01,Fresquita,1300ANV010712,9.168194291944056,Hilos Verano
2025-01-01,Fresquita,1300ANV010730,32.71841457923066,Hilos Verano
2025-01-01,Fresquita,1300ANV010731,8.158766839598702,Hilos Verano
2025-01-01,Fresquita,1300ANV011033,22.590183780621757,Hilos Verano
2025-01-01,Fresquita,1300ANV011102,246.3743847907876,Hilos Verano
2025-01-01,Fresquita,1300ANV011281,23.568741891916797,Hilos Verano
2025-01-01,Fresquita,1300ANV011302,71.8576520969272,Hilos Verano
2025-01-01,Fresquita,1300ANV011777,11.79826214943104,Hilos Verano
2025-01-01,Fresquita,1300ANV011788,13.273816651636178,Hilos Verano
2025-01-01,Fresquita,1300ANV011799,14.752458087946346,Hilos Verano
2025-01-01,Fresquita,1300ANV012502,16.55214067117981,Hilos Verano
2025-01-01,Fresquita,1300ANV013401,31.381772111751943,Hilos Verano
2025-01-01,Fresquita,1300ANV013602,86.01741883670746,Hilos Verano
2025-01-01,Fresquita,1300ANV014204,17.58626359636542,Hilos Verano
2025-01-01,Fresquita,1300ANV014850,19.79033454735803,Hilos Verano
2025-01-01,Fresquita,1300ANV016210,30.730429015590268,Hilos Verano
2025-01-01,Fresquita,1300ANV016211,10.06031824829821,Hilos Verano
2025-01-01,Fresquita,1300ANV016212,11.196309998949864,Hilos Verano
2025-01-01,Fresquita,1300ANV016213,20.145331969436672,Hilos Verano
2025-01-01,Fresquita,1300ANV016214,7.800682483415027,Hilos Verano
2025-01-01,Fresquita,1300ANV016215,63.2420190097838,Hilos Verano
2025-01-01,Fresquita,1300ANV016402,21.90797134340976,Hilos Verano
2025-01-01,Fresquita,1300ANV016890,6.797428899279734,Hilos Verano
2025-01-01,Fresquita,1300ANV017802,21.318366929348706,Hilos Verano
2025-01-01,Fresquita,1300ANV018102,23.460699198240683,Hilos Verano
2025-01-01,Fresquita,1300ANV018252,11.208657735369991,Hilos Verano
