Mes,SuperFamily,Familia,Codigo Producto,Venta 2025,Venta 2024,Venta 2023,Venta 2022,Projection 2025,Projection 2026
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016402,34.0,28.0,36.0,82.0,25.80796220794323,30.639093040254046
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016702,63.0,59.0,64.0,112.0,62.14991936864863,73.78409603351899
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016890,4.0,21.0,23.0,43.0,23.3766414681994,27.75264033408948
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016902,24.0,41.0,68.0,75.0,47.95239620504741,56.92886237943163
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017007,25.0,29.0,30.0,70.0,31.569662853896965,37.47935732532551
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017402,21.0,31.0,31.0,71.0,30.556980259030883,36.27710524535316
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017802,42.0,42.0,28.5,79.0,36.23484225878655,43.01783667848791
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017902,15.0,20.0,34.0,68.0,26.767694078894746,31.77848226637164
1,Invierno,Ukryl Etiqueta Dorada,1100AN1018003,31.0,33.0,62.0,69.0,35.381011835664175,42.00417316007985
1,Invierno,Ukryl Etiqueta Dorada,1100AN1018902,116.0,260.0,270.0,302.0,239.64372440849456,284.50391819021587
1,Invierno,Ukryl Estampado,1106AN1010004,12.0,6.0,,,12.474308042206598,14.809440653951444
1,Invierno,Ukryl Estampado,1106AN1010007,13.0,7.0,,,13.59620150514641,16.141347369999192
1,Invierno,Ukryl Estampado,1106AN1010016,14.0,4.0,,,14.16873120747266,16.821051977303824
1,Invierno,Ukryl Estampado,1106AN1010021,5.0,4.0,,,8.893515337484006,10.558340162023
1,Invierno,Ukryl Estampado,1106AN1010024,13.0,8.0,,,17.386590825364106,20.641279991769352
1,Invierno,Ukryl Estampado,1106AN1010027,6.0,8.0,,,13.161564313014347,15.625348111274672
1,Invierno,Ukryl Estampado,1106AN1010029,4.0,5.0,,,9.448394798505396,11.217090484709376
1,Invierno,Ukryl Estampado,1106AN1010031,,6.0,,,10.31325662244331,12.243850431003848
1,Invierno,Ukryl Estampado,1106AN1010041,10.0,2.0,,,13.83778918300662,16.428159140711553
1,Invierno,Ukryl Estampado,1106AN1010062,,2.0,,,12.219482683367692,14.50691316977534
1,Invierno,Ukryl Estampado,1106AN1010064,4.0,3.0,,,12.59896287142208,14.95743028906781
1,Invierno,Ukryl Estampado,1106AN1010065,6.0,3.0,,,5.163798721751753,6.130437893628091
1,Invierno,Ukryl Estampado,1106AN1010077,8.0,7.0,,,14.351852461010534,17.038452680218214
1,Invierno,Ukryl Estampado,1106AN1010082,8.0,7.0,,,10.389373288070498,12.33421578342007
1,Invierno,Ukryl Estampado,1106AN1010085,1.0,2.0,,,12.596756591258975,14.95481100349053
1,Invierno,Ukryl Estampado,1106AN1010103,8.0,5.0,,,12.60116915158519,14.960049574645092
1,Invierno,Ukryl Estampado,1106AN1010125,9.0,7.4,,,12.986165040047348,15.41711490788077
1,Invierno,Krehuel Estampado,1119AN1050472,,2.0,,,2.651948756054518,3.148381263892744
1,Invierno,Krehuel Estampado,1119AN1050475,1.0,,,,2.730271701844817,3.2413659018862475
1,Invierno,Krehuel Estampado,1119AN1050477,,1.0,5.0,,3.21068920736135,3.811715336339363
1,Invierno,Krehuel Estampado,1119AN1050478,,1.0,,,3.0391509246797868,3.608065882705702
1,Invierno,Krehuel Estampado,1119AN1050481,,1.0,5.0,,2.8405857100001635,3.3723301807503385
1,Invierno,Krehuel Estampado,1119AN1050482,,1.0,,1.0,2.134576057805948,2.534158796020157
1,Invierno,Krehuel Estampado,1119AN1050487,,,5.0,,2.7308232718855945,3.2420207232805685
1,Invierno,Krehuel Estampado,1119AN1050488,,,,1.0,2.4269081794176155,2.881214135009998
1,Invierno,Krehuel,1123AN1050001,,8.0,8.0,8.0,5.1593861614255685,6.125199322473527
1,Invierno,Krehuel,1123AN1050006,,4.0,,7.0,3.7076538141011848,4.401709412622092
1,Invierno,Krehuel,1123AN1050011,,1.0,6.0,13.0,3.4169764026118474,4.056618537815213
1,Invierno,Krehuel,1123AN1050012,,3.0,7.0,26.0,8.024240953219879,9.526341644573966
1,Invierno,Krehuel,1123AN1050013,,28.0,13.0,44.0,13.385501749569706,15.89120559736878
1,Invierno,Krehuel,1123AN1050015,2.0,3.0,2.0,7.0,3.3960167410623323,4.031735324831036
1,Invierno,Krehuel,1123AN1050017,,20.0,9.0,31.0,10.838902871303535,12.867895219791244
1,Invierno,Krehuel,1123AN1050018,,27.0,17.0,23.0,14.15052939612703,16.79944287129125
1,Invierno,Krehuel,1123AN1050020,3.0,2.0,8.0,16.0,3.901254898413817,4.631551722028571
1,Invierno,Krehuel,1123AN1050022,,2.0,5.0,6.0,4.073896321176934,4.836510818450875
1,Invierno,Krehuel,1123AN1050023,3.0,6.0,5.0,10.0,3.0987204890836733,3.678786593292311
1,Invierno,Krehuel,1123AN1050024,,6.0,14.0,12.0,5.787624437870235,6.871040890604524
1,Invierno,Krehuel,1123AN1050025,3.0,,,4.0,1.7098671264078655,2.029946322393408
1,Invierno,Krehuel,1123AN1050026,,6.0,2.0,13.0,3.741299586588565,4.44165351767564
1,Invierno,Krehuel,1123AN1050027,,8.0,2.0,11.0,4.449515518945888,5.282444187983104
1,Invierno,Krehuel,1123AN1050028,5.0,3.0,7.0,11.0,3.353545847922524,3.981314077468361
1,Invierno,Krehuel,1123AN1050030,1.5,9.0,3.0,11.0,5.194135073994475,6.1664530703157165
1,Invierno,Krehuel,1123AN1050037,,15.0,16.0,10.0,11.757266989196795,13.9581728413348
1,Invierno,Krehuel,1123AN1050041,,4.0,,4.0,2.737442112374915,3.249878580012413
1,Invierno,Krehuel,1123AN1050134,,,,7.0,1.7264142276311674,2.049590964223021
1,Invierno,Krehuel,1123AN1050718,2.0,3.0,10.0,9.0,4.640358753054636,5.50901239041798
1,Invierno,Krehuel,1123AN1050829,,2.0,11.0,9.0,3.880846806905078,4.607323330438715
1,Invierno,Krehuel,1123AN1050831,2.0,1.0,10.0,15.0,4.343062501075979,5.156063658879256
1,Invierno,Krehuel,1123AN1050888,,3.0,12.0,11.0,4.395461654949768,5.218271691339699
1,Invierno,Krehuel,1123AN1051777,,3.0,9.0,,4.422488586947828,5.2503579396614
1,Invierno,Krehuel,1123AN1051788,,4.0,3.0,,4.964130366990577,5.893392548884087
1,Invierno,Krehuel,1123AN1051799,,7.0,6.0,,5.2106821752177765,6.18609771214533
1,Invierno,Krehuel,1123AN1053602,,9.0,4.0,18.0,6.436822375864448,7.641765671719699
1,Invierno,Krehuel,1123AN1053902,5.0,4.0,5.0,8.0,2.596791751976849,3.082899124460698
1,Invierno,Krehuel,1123AN1055032,,16.0,8.0,9.0,6.620495199443099,7.859821196028411
1,Invierno,Krehuel,1123AN1055502,,8.0,6.0,13.0,4.190277599780824,4.974678132652491
1,Invierno,Krehuel,1123AN1056902,,3.0,3.0,5.0,1.952557944349628,2.318067735894408
1,Invierno,Krehuel,1123AN1058003,,12.0,3.0,9.0,3.6927614230002126,4.38402923497544
1,Invierno,Bruni,1129ANB310769,3.0,5.0,,,6.220606919879956,7.385075685146068
1,Invierno,Bruni,1129ANB310772,3.0,4.0,,,6.069476728707147,7.205654623102278
1,Invierno,Bruni,1129ANB310831,3.0,4.0,,,6.254804262408128,7.4256746115939505
1,Invierno,Bruni,1129ANB310888,3.0,7.0,,,8.399308580948057,9.971620192711876
1,Invierno,Bruni,1129ANB312903,3.0,4.0,,,6.455575757250858,7.664029599126596
1,Invierno,Bruni,1129ANB313602,3.0,5.0,,,7.111944105775168,8.443267058367937
1,Invierno,Bruni,1129ANB313916,3.0,4.0,,,7.436267289751886,8.828302038228363
1,Invierno,Bruni,1129ANB314850,3.0,4.0,,,6.557064644753776,7.784516735681558
1,Invierno,Bruni,1129ANB316890,3.0,3.0,,,6.9729484554994325,8.278252066999183
1,Invierno,Bruni,1129ANB317007,3.0,4.0,,,7.747352792749961,9.197621304625098
1,Invierno,Bruni,1129ANB318003,3.0,3.0,,,6.530589282796494,7.753085308754177
1,Invierno,Bruni,1129ANB318902,4.0,3.0,,,11.799186312295824,14.007939267303152
1,Bebé,Super Nene,1140NA1010001,8.0,21.0,18.0,38.0,22.020583890433667,23.75675477126321
1,Bebé,Super Nene,1140NA1010003,13.0,26.0,29.5,53.0,37.32919799707069,40.2723473199817
1,Bebé,Super Nene,1140NA1010004,2.0,10.0,19.0,,11.870289064974669,12.806179335831263
1,Bebé,Super Nene,1140NA1010005,6.0,23.0,20.0,16.0,18.946551632575872,20.44035631097507
1,Bebé,Super Nene,1140NA1010007,8.0,13.0,15.0,18.0,17.096809278280496,18.44477455348567
1,Bebé,Super Nene,1140NA1010008,7.0,15.0,26.0,27.0,13.665137986094011,14.742539692244092
1,Bebé,Super Nene,1140NA1010026,22.0,31.0,36.0,31.0,35.2931506574506,38.07577171641422
1,Bebé,Super Nene,1140NA1010034,17.0,25.0,23.0,37.0,24.821812419780265,26.778840814079896
1,Bebé,Super Nene,1140NA1010073,19.0,30.0,25.0,69.0,34.912223499956326,37.66481108470104
1,Bebé,Super Nene,1140NA1010439,10.0,17.0,21.0,39.0,17.081838341959763,18.42862326228297
1,Bebé,Super Nene,1140NA1010730,6.0,31.0,36.0,41.0,34.38325041662365,37.09413212887223
1,Bebé,Super Nene,1140NA1010731,9.0,19.0,18.0,27.0,20.826235859512725,22.46824065086988
1,Bebé,Super Nene,1140NA1010732,5.0,5.0,19.0,27.0,17.28477770097418,18.647562987475148
1,Bebé,Super Nene,1140NA1010734,14.0,28.0,19.0,41.0,22.922166944415764,24.72942141924815
1,Bebé,Super Nene,1140NA1010829,10.0,18.0,15.0,36.0,23.16669223765445,24.99322584222562
1,Bebé,Super Nene,1140NA1011102,81.0,125.0,96.0,115.0,105.36045951323295,113.66740372088236
1,Bebé,Super Nene,1140NA1011302,13.0,24.0,16.0,51.0,24.28618558697171,26.200983506605443
1,Bebé,Super Nene,1140NA1013303,,,3.0,,0.0665374947588266,0.0717835164564532
1,Bebé,Super Nene,1140NA1013952,7.0,33.0,22.0,25.0,24.550672128638045,26.48632298451985
1,Bebé,Super Nene,1140NA1016902,,,,7.0,0.9481593003132792,1.022915109504459
1,Bebé,Super Nene,1140NA1018902,29.0,40.0,31.0,26.0,35.66576062810003,38.47775940857037
1,Bebé,Baby Soft,1148AN1010003,23.0,52.0,49.0,58.0,46.49307446273009,50.15873212394673
1,Bebé,Baby Soft,1148AN1010014,8.0,21.0,24.0,45.0,26.61666134089961,28.71520117049272
1,Bebé,Baby Soft,1148AN1010024,13.0,19.0,10.0,31.0,20.39706901831829,22.00523696972576
1,Bebé,Baby Soft,1148AN1010026,32.0,63.0,47.0,51.0,45.96077450465948,49.5844639922951
1,Bebé,Baby Soft,1148AN1010034,18.0,30.0,39.0,46.0,33.1439895767405,35.757164134870784
1,Bebé,Baby Soft,1148AN1010039,21.0,24.0,24.0,19.0,34.250175427106,36.95056509595933
1,Bebé,Baby Soft,1148AN1010041,21.0,26.0,27.0,38.0,29.80879765195432,32.15901537249107
1,Bebé,Baby Soft,1148AN1010050,10.0,24.0,19.0,20.0,20.36380027093888,21.96934521149753
1,Bebé,Baby Soft,1148AN1010081,23.0,51.0,43.0,59.0,41.71069202693943,44.99929187863915
1,Bebé,Baby Soft,1148AN1010229,26.0,46.0,43.0,34.0,39.12903723029696,42.21409144012876
1,Bebé,Baby Soft,1148AN1010439,22.0,43.0,18.0,23.0,26.265676056046804,28.33654312118493
1,Bebé,Baby Soft,1148AN1010730,18.0,20.0,25.0,24.0,30.20802262050728,32.589716471229785
1,Bebé,Baby Soft,1148AN1010734,28.0,38.0,26.0,31.0,37.17782519649436,40.10903982004327
1,Bebé,Baby Soft,1148AN1010812,14.0,34.0,26.0,22.0,23.617483764645502,25.47955916621809
1,Bebé,Baby Soft,1148AN1010831,11.0,14.0,19.0,34.0,22.762476956994583,24.557140979752667
1,Bebé,Baby Soft,1148AN1010875,15.0,34.0,21.0,46.0,30.67877539592597,33.097584850159194
1,Bebé,Baby Soft,1148AN1010888,24.0,36.0,38.0,41.0,40.68934148239144,43.89741490103259
1,Bebé,Baby Soft,1148AN1011102,111.0,160.0,156.0,110.0,128.79662860466067,138.95135280475662
1,Bebé,Baby Soft,1148AN1011302,35.0,83.0,65.0,60.0,61.934763558884775,66.81789170557812
1,Bebé,Baby Soft,1148AN1013401,15.0,31.0,25.0,19.0,25.918017645931933,27.96147424769996
1,Bebé,Baby Soft,1148AN1013602,12.0,22.0,32.0,21.0,29.66407860085387,32.002886224198285
1,Bebé,Baby Soft,1148AN1013902,3.0,14.0,15.0,16.0,15.015849129698193,16.199745076310094
1,Bebé,Baby Soft,1148AN1014204,12.0,23.0,6.0,22.0,18.861716326758373,20.348832327493096
1,Bebé,Baby Soft,1148AN1016402,8.0,18.0,13.0,27.0,17.271470202022414,18.63320628418386
1,Bebé,Baby Soft,1148AN1018902,33.0,67.0,56.0,51.0,47.64084624731985,51.39699778282055
1,Invierno,Super Economico 100 gr,1150AN0T10033,27.0,35.6,88.0,172.0,65.45702301913796,77.710274149586
