Date,SuperFamily,Familia,Codigo Producto,Projection,Sales
2022-01-01,Hilos Verano,Fresquita,1300ANV011102,,230
2022-01-01,Hilos Verano,Fresquita,1300ANV011281,,8
2022-01-01,Hilos Verano,Fresquita,1300ANV011302,,59
2022-01-01,Hilos Verano,Fresquita,1300ANV011777,,10
2022-01-01,Hilos Verano,Fresquita,1300ANV011788,,10
2022-01-01,Hilos Verano,Fresquita,1300ANV011799,,2
2022-01-01,Hilos Verano,Fresquita,1300ANV012502,,4
2022-01-01,Hilos Verano,Fresquita,1300ANV013401,,16
2022-01-01,Hilos Verano,Fresquita,1300ANV013602,,42
2022-01-01,Hilos Verano,Fresquita,1300ANV014204,,6
2022-01-01,Hilos Verano,Fresquita,1300ANV014850,,8
2022-01-01,Hilos Verano,Fresquita,1300ANV016210,,19
2022-01-01,Hilos Verano,Fresquita,1300ANV016211,,3
2022-01-01,Hilos Verano,Fresquita,1300ANV016212,,2
2022-01-01,Hilos Verano,Fresquita,1300ANV016213,,7
2022-01-01,Hilos Verano,Fresquita,1300ANV016214,,7
2022-01-01,Hilos Verano,Fresquita,1300ANV016215,,30
2022-01-01,Hilos Verano,Fresquita,1300ANV016402,,8
2022-01-01,Hilos Verano,Fresquita,1300ANV016890,,1
2022-01-01,Hilos Verano,Fresquita,1300ANV017802,,5
2022-01-01,Hilos Verano,Fresquita,1300ANV018102,,11
2022-01-01,Hilos Verano,Fresquita,1300ANV018252,,2
2022-01-01,Hilos Verano,Fresquita,1300ANV018254,,22
2022-01-01,Hilos Verano,Fresquita,1300ANV018257,,12
2022-01-01,Hilos Verano,Fresquita,1300ANV018259,,5
2022-01-01,Hilos Verano,Fresquita,1300ANV018262,,3
2022-01-01,Hilos Verano,Fresquita,1300ANV018902,,110
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010001,,8
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010002,,8
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010003,,8
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010004,,11
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010005,,3
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010006,,9
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010008,,8
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010009,,14
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010010,,7
2022-01-01,Hilos Verano,Fresquita Estampado,1305ANV010011,,8
2022-01-01,Invierno,Krehuel,1123AN1050001,,9
2022-01-01,Invierno,Krehuel,1123AN1050006,,7
2022-01-01,Invierno,Krehuel,1123AN1050011,,13
2022-01-01,Invierno,Krehuel,1123AN1050012,,26
2022-01-01,Invierno,Krehuel,1123AN1050013,,41
2022-01-01,Invierno,Krehuel,1123AN1050015,,8
2022-01-01,Invierno,Krehuel,1123AN1050017,,26
2022-01-01,Invierno,Krehuel,1123AN1050018,,26
2022-01-01,Invierno,Krehuel,1123AN1050020,,16
2022-01-01,Invierno,Krehuel,1123AN1050022,,6
2022-01-01,Invierno,Krehuel,1123AN1050023,,11
2022-01-01,Invierno,Krehuel,1123AN1050024,,12
2022-01-01,Invierno,Krehuel,1123AN1050025,,4
2022-01-01,Invierno,Krehuel,1123AN1050026,,13
2022-01-01,Invierno,Krehuel,1123AN1050027,,12
2022-01-01,Invierno,Krehuel,1123AN1050028,,11
2022-01-01,Invierno,Krehuel,1123AN1050030,,12
2022-01-01,Invierno,Krehuel,1123AN1050036,,5
2022-01-01,Invierno,Krehuel,1123AN1050037,,10
2022-01-01,Invierno,Krehuel,1123AN1050041,,4
2022-01-01,Invierno,Krehuel,1123AN1050134,,7
2022-01-01,Invierno,Krehuel,1123AN1050718,,10
2022-01-01,Invierno,Krehuel,1123AN1050829,,9
2022-01-01,Invierno,Krehuel,1123AN1050831,,15
2022-01-01,Invierno,Krehuel,1123AN1050888,,11
2022-01-01,Invierno,Krehuel,1123AN1053602,,14
2022-01-01,Invierno,Krehuel,1123AN1053902,,9
2022-01-01,Invierno,Krehuel,1123AN1055032,,11
2022-01-01,Invierno,Krehuel,1123AN1055502,,13
2022-01-01,Invierno,Krehuel,1123AN1056902,,5
2022-01-01,Invierno,Krehuel,1123AN1058003,,10
2022-01-01,Invierno,Krehuel Estampado,1119AN1050475,,5
2022-01-01,Invierno,Krehuel Estampado,1119AN1050478,,5
2022-01-01,Invierno,Krehuel Estampado,1119AN1050481,,5
2022-01-01,Invierno,Krehuel Estampado,1119AN1050482,,2
2022-01-01,Invierno,Krehuel Estampado,1119AN1050487,,3
2022-01-01,Invierno,Krehuel Estampado,1119AN1050488,,2
2022-01-01,Invierno,Krehuel Estampado,1119AN1050489,,10
2022-01-01,Invierno,Mandala,5526IMK010101,,10
2022-01-01,Invierno,Mandala,5526IMK010119,,12
2022-01-01,Invierno,Mandala,5526IMK010503,,10
2022-01-01,Invierno,Mandala,5526IMK010504,,10
2022-01-01,Invierno,Mandala,5526IMK010507,,10
2022-01-01,Invierno,Mandala,5526IMK017804,,10
2022-01-01,Invierno,Mandala,5526IMK017829,,10
2022-01-01,Invierno,Mandala,5526IMK017832,,10
2022-01-01,Invierno,Mandala,5526IMK017864,,10
2022-01-01,Invierno,Mandala,5526IMK017865,,10
2022-01-01,Hilos Verano,Margarita,1308ANV010003,,23
2022-01-01,Hilos Verano,Margarita,1308ANV010022,,14
2022-01-01,Hilos Verano,Margarita,1308ANV010028,,14
2022-01-01,Hilos Verano,Margarita,1308ANV010029,,12
2022-01-01,Hilos Verano,Margarita,1308ANV010033,,22
2022-01-01,Hilos Verano,Margarita,1308ANV010081,,14
2022-01-01,Hilos Verano,Margarita,1308ANV010205,,16
2022-01-01,Hilos Verano,Margarita,1308ANV010209,,17
2022-01-01,Hilos Verano,Margarita,1308ANV010223,,16
2022-01-01,Hilos Verano,Margarita,1308ANV010225,,16
2022-01-01,Hilos Verano,Margarita,1308ANV010229,,17
2022-01-01,Hilos Verano,Margarita,1308ANV010289,,16
2022-01-01,Hilos Verano,Margarita,1308ANV010425,,11
2022-01-01,Hilos Verano,Margarita,1308ANV010439,,19
2022-01-01,Hilos Verano,Margarita,1308ANV010712,,11
2022-01-01,Hilos Verano,Margarita,1308ANV010730,,8
2022-01-01,Hilos Verano,Margarita,1308ANV010731,,10
2022-01-01,Hilos Verano,Margarita,1308ANV011102,,70
2022-01-01,Hilos Verano,Margarita,1308ANV011302,,33
2022-01-01,Hilos Verano,Margarita,1308ANV013401,,16
2022-01-01,Hilos Verano,Margarita,1308ANV013602,,38
2022-01-01,Hilos Verano,Margarita,1308ANV014850,,11
2022-01-01,Hilos Verano,Margarita,1308ANV016210,,15
2022-01-01,Hilos Verano,Margarita,1308ANV016212,,13
2022-01-01,Hilos Verano,Margarita,1308ANV016213,,13
2022-01-01,Hilos Verano,Margarita,1308ANV016215,,21
2022-01-01,Hilos Verano,Margarita,1308ANV016402,,11
2022-01-01,Hilos Verano,Margarita,1308ANV018102,,21
2022-01-01,Hilos Verano,Margarita,1308ANV018254,,18
2022-01-01,Hilos Verano,Margarita,1308ANV018257,,19
2022-01-01,Hilos Verano,Margarita,1308ANV018902,,47
2022-01-01,Invierno,Nako Melange,5614IM0D10091,,79
2022-01-01,Invierno,Nako Melange,5614IM0D10092,,71
2022-01-01,Invierno,Nako Melange,5614IM0D10093,,64
2022-01-01,Invierno,Nako Melange,5614IM0D10094,,39
2022-01-01,Invierno,Nako Melange,5614IM0D10095,,48
