Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,35.19122486981505,247.094,293.2,540.294,505.1027751301849
2025-02,49.33265862484714,247.094,293.2,540.294,455.7701165053378
2025-03,87.20258304803794,247.094,293.2,540.294,368.5675334572999
2025-04,106.86815181999162,247.094,293.2,540.294,261.69938163730825
2025-05,126.85699424685144,247.094,293.2,540.294,134.8423873904568
2025-06,126.71297704598967,247.094,293.2,540.294,8.129410344467118
2025-07,128.75954842444742,247.094,293.2,540.294,-120.6301380799803
2025-08,78.30056844726377,247.094,293.2,540.294,-198.93070652724407
2025-09,50.84348712775354,247.094,293.2,540.294,-249.77419365499762
2025-10,45.616858167520746,247.094,293.2,540.294,-295.39105182251836
2025-11,41.867824514506985,247.094,293.2,540.294,-337.25887633702536
2025-12,31.75618828786721,247.094,293.2,540.294,-369.01506462489255
