Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,60.66595601077276,495.422,308.1,803.522,742.8560439892273
2025-02,85.04429468144212,495.422,308.1,803.522,657.8117493077851
2025-03,150.3280458917948,495.422,308.1,803.522,507.48370341599036
2025-04,184.22941006594948,495.422,308.1,803.522,323.2542933500409
2025-05,218.6880638883198,495.422,308.1,803.522,104.5662294617211
2025-06,218.4397934400875,495.422,308.1,803.522,-113.8735639783664
2025-07,221.9678664093497,495.422,308.1,803.522,-335.8414303877161
2025-08,134.98191263909737,495.422,308.1,803.522,-470.8233430268135
2025-09,87.64880349965487,495.422,308.1,803.522,-558.4721465264684
2025-10,78.63864702572991,495.422,308.1,803.522,-637.1107935521983
2025-11,72.17570884957898,495.422,308.1,803.522,-709.2865024017773
2025-12,54.74431563176489,495.422,308.1,803.522,-764.0308180335421
