Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,11.849686302578924,135.0,123.15031369742107
2025-02,26.832734258363363,135.0,96.31757943905771
2025-03,27.823930962297787,135.0,68.49364847675992
2025-04,48.60377936373224,135.0,19.88986911302768
2025-05,59.89877549934671,135.0,-40.00890638631903
2025-06,64.18586272081113,135.0,-104.19476910713016
2025-07,53.179217269969165,135.0,-157.37398637709933
2025-08,40.171678238526646,135.0,-197.54566461562598
2025-09,18.888221143683463,135.0,-216.43388575930945
2025-10,19.94845765398874,135.0,-236.3823434132982
2025-11,17.123673609899722,135.0,-253.50601702319793
2025-12,14.544300342372171,135.0,-268.0503173655701
