Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,10.516604254252956,74.0,63.483395745747046
2025-02,14.742653871439485,74.0,48.74074187430756
2025-03,26.05976516183883,74.0,22.68097671246873
2025-04,31.936656488427065,74.0,-9.255679775958335
2025-05,37.91015545248885,74.0,-47.165835228447186
2025-06,37.86711711230971,74.0,-85.03295234075689
2025-07,38.47871791179713,74.0,-123.51167025255403
2025-08,23.399472291435664,74.0,-146.91114254398968
2025-09,15.1941523776691,74.0,-162.10529492165878
2025-10,13.63221787377143,74.0,-175.7375127954302
2025-11,12.511850412551285,74.0,-188.2493632079815
2025-12,9.490072200740576,74.0,-197.73943540872207
