Month,Familia,Product_Code,Forecast_Product,SuperFamily
2025-01,Glaciar,5521IM1010910,0.3594444783390977,Invierno
2025-01,Glaciar,5521IM1010935,0.095851860890426,Invierno
2025-01,Glaciar,5521IM1011302,21.468420542933178,Invierno
2025-01,Glaciar,5521IM1012903,8.303167449633158,Invierno
2025-01,Glaciar,5521IM1013602,11.69392702863198,Invierno
2025-01,Glaciar,5521IM1015204,13.652899435580062,Invierno
2025-01,Glaciar,5521IM1015502,10.603612111003384,Invierno
2025-01,Glaciar,5521IM1017007,11.571715905996689,Invierno
2025-01,Glaciar,5521IM1018902,21.087409395893737,Invierno
2025-01,Glaciar,5521IM1019102,0.095851860890426,Invierno
2025-01,Glaciar Estampado Ac,5524IM1010138,7.955704453905364,Invierno
2025-01,Glaciar Estampado Ac,5524IM1010148,9.096341598501434,Invierno
2025-01,Glaciar Estampado Ac,5524IM1010158,8.040772980445617,Invierno
2025-01,Glaciar Estampado Ac,5524IM1010168,7.620222940788873,Invierno
2025-01,Glaciar Estampado Ac,5524IM1010178,5.419224585092463,Invierno
2025-01,Glaciar Estampado Ac,5524IM1010188,7.846672962142503,Invierno
2025-01,Glaciar Estampado Ac,5524IM1010198,7.3458469889900275,Invierno
2025-01,Happy Soft,5538IM0F10001,19.18235366069652,Invierno
2025-01,Happy Soft,5538IM0F10002,18.619223977965262,Invierno
2025-01,Happy Soft,5538IM0F10003,13.38331607682574,Invierno
2025-01,Happy Soft,5538IM0F10004,11.35844551551549,Invierno
2025-01,Happy Soft,5538IM0F10005,10.686284341021375,Invierno
2025-01,Happy Soft,5538IM0F10006,10.507760250112955,Invierno
2025-01,Happy Soft,5538IM0F10007,11.94553816346935,Invierno
2025-01,Happy Soft,5538IM0F10008,9.453389780318272,Invierno
2025-01,Happy Soft,5538IM0F10009,9.645093502099124,Invierno
2025-01,Happy Soft,5538IM0F10010,10.867204728452055,Invierno
2025-01,Happy Soft,5538IM0F10011,9.81283425865737,Invierno
2025-01,Happy Soft,5538IM0F10012,9.56122312382,Invierno
2025-01,Happy Soft,5538IM0F10013,10.723426937116416,Invierno
2025-01,Happy Soft,5538IM0F10014,8.710537858417469,Invierno
2025-01,Happy Soft,5538IM0F10015,9.920667602159098,Invierno
2025-01,Happy Soft,5538IM0F10016,8.782426754085288,Invierno
2025-01,Happy Soft,5538IM0F10017,12.556593776645816,Invierno
2025-01,Happy Soft,5538IM0F10018,9.621130536876516,Invierno
2025-01,Happy Soft Estampado,5539IM0F10040,4.756648596687394,Invierno
2025-01,Happy Soft Estampado,5539IM0F10041,4.421167083570903,Invierno
2025-01,Happy Soft Estampado,5539IM0F10042,3.882000366062256,Invierno
2025-01,Happy Soft Estampado,5539IM0F10043,4.792593044521304,Invierno
2025-01,Happy Soft Estampado,5539IM0F10044,3.965870744341379,Invierno
2025-01,Happy Soft Estampado,5539IM0F10045,5.092130109803885,Invierno
2025-01,Happy Soft Estampado,5539IM0F10046,5.727148688202958,Invierno
2025-01,Happy Soft Estampado,5539IM0F10047,4.744667114076091,Invierno
2025-01,Happy Soft Estampado,5539IM0F10048,4.6248522879630585,Invierno
2025-01,Happy Soft Estampado,5539IM0F10049,5.8230005490933845,Invierno
2025-01,Krehuel,1123AN1050001,4.986693062824417,Invierno
2025-01,Krehuel,1123AN1050006,3.8173003599612185,Invierno
2025-01,Krehuel,1123AN1050011,2.88454193867126,Invierno
2025-01,Krehuel,1123AN1050012,7.888608151282066,Invierno
2025-01,Krehuel,1123AN1050013,10.117163916984472,Invierno
2025-01,Krehuel,1123AN1050015,3.616610526221889,Invierno
2025-01,Krehuel,1123AN1050017,10.604211185133948,Invierno
2025-01,Krehuel,1123AN1050018,13.3323947757277,Invierno
2025-01,Krehuel,1123AN1050020,4.225269842876094,Invierno
2025-01,Krehuel,1123AN1050022,2.789289151911399,Invierno
2025-01,Krehuel,1123AN1050023,3.335644758986827,Invierno
2025-01,Krehuel,1123AN1050024,6.016501493265932,Invierno
2025-01,Krehuel,1123AN1050025,1.881092769974612,Invierno
2025-01,Krehuel,1123AN1050026,3.7280383145070086,Invierno
2025-01,Krehuel,1123AN1050027,4.61107358296006,Invierno
2025-01,Krehuel,1123AN1050028,3.56449107686272,Invierno
2025-01,Krehuel,1123AN1050030,5.3718977287778165,Invierno
2025-01,Krehuel,1123AN1050036,0.9465371262929576,Invierno
2025-01,Krehuel,1123AN1050037,11.090060305022298,Invierno
2025-01,Krehuel,1123AN1050041,2.938458610422124,Invierno
2025-01,Krehuel,1123AN1050134,0.6829445088442857,Invierno
2025-01,Krehuel,1123AN1050718,4.866279162580819,Invierno
2025-01,Krehuel,1123AN1050829,3.975455930430422,Invierno
2025-01,Krehuel,1123AN1050831,4.549368947511847,Invierno
2025-01,Krehuel,1123AN1050888,4.521212463375285,Invierno
2025-01,Krehuel,1123AN1051777,4.054533715665023,Invierno
2025-01,Krehuel,1123AN1051788,4.085685570454412,Invierno
2025-01,Krehuel,1123AN1051799,4.065916124145761,Invierno
2025-01,Krehuel,1123AN1053602,6.829445088442858,Invierno
2025-01,Krehuel,1123AN1053902,2.6766632153651484,Invierno
2025-01,Krehuel,1123AN1055032,6.04645519979419,Invierno
2025-01,Krehuel,1123AN1055502,3.712462387112315,Invierno
2025-01,Krehuel,1123AN1056902,2.120722422200677,Invierno
2025-01,Krehuel,1123AN1058003,3.519560517070333,Invierno
2025-01,Krehuel Estampado,1119AN1050472,2.5568483892521154,Invierno
2025-01,Krehuel Estampado,1119AN1050475,2.6419169157923688,Invierno
2025-01,Krehuel Estampado,1119AN1050477,2.648506731228585,Invierno
2025-01,Krehuel Estampado,1119AN1050478,3.0612688071879828,Invierno
