Product_Code,Stock,Month,Familia,Forecast_Product,SuperFamily,Total_Projection,Stock_After_Consumption,Fecha
5527IM6010048,272.1,2025-08,Cotton Premium,34.839369390172486,Verano,34.839369390172486,237.26063060982753,2025-01-01
5527IM6010048,272.1,2025-09,Cotton Premium,40.45557879953876,Verano,40.45557879953876,231.64442120046127,2025-01-01
5527IM6010048,272.1,2025-10,Cotton Premium,49.253239846525744,Verano,49.253239846525744,222.8467601534743,2025-01-01
5527IM6010048,272.1,2025-11,Cotton Premium,38.5283255826165,Verano,38.5283255826165,233.57167441738352,2025-01-01
5527IM6010048,272.1,2025-12,Cotton Premium,27.40510928338913,Verano,27.40510928338913,244.6948907166109,2025-01-01
5527IM6010081,206.5,2025-01,Cotton Premium,21.9410485849088,Verano,21.9410485849088,184.5589514150912,2025-01-01
5527IM6010081,206.5,2025-02,Cotton Premium,16.155748371938586,Verano,16.155748371938586,190.34425162806141,2025-01-01
5527IM6010081,206.5,2025-03,Cotton Premium,18.6911285883042,Verano,18.6911285883042,187.8088714116958,2025-01-01
5527IM6010081,206.5,2025-04,Cotton Premium,16.57513400097362,Verano,16.57513400097362,189.9248659990264,2025-01-01
5527IM6010081,206.5,2025-05,Cotton Premium,17.296413143395228,Verano,17.296413143395228,189.20358685660477,2025-01-01
5527IM6010081,206.5,2025-06,Cotton Premium,13.723403511561116,Verano,13.723403511561116,192.77659648843888,2025-01-01
5527IM6010081,206.5,2025-07,Cotton Premium,21.083163500022565,Verano,21.083163500022565,185.41683649997742,2025-01-01
5527IM6010081,206.5,2025-08,Cotton Premium,36.11809321963163,Verano,36.11809321963163,170.38190678036835,2025-01-01
5527IM6010081,206.5,2025-09,Cotton Premium,41.940436693095386,Verano,41.940436693095386,164.5595633069046,2025-01-01
5527IM6010081,206.5,2025-10,Cotton Premium,51.06100194360851,Verano,51.06100194360851,155.43899805639148,2025-01-01
5527IM6010081,206.5,2025-11,Cotton Premium,39.94244670174185,Verano,39.94244670174185,166.55755329825814,2025-01-01
5527IM6010081,206.5,2025-12,Cotton Premium,28.41097037970067,Verano,28.41097037970067,178.08902962029933,2025-01-01
5527IM6010092,109.6,2025-01,Cotton Premium,25.03402223447381,Verano,25.03402223447381,84.56597776552618,2025-01-01
5527IM6010092,109.6,2025-02,Cotton Premium,18.433183008211085,Verano,18.433183008211085,91.1668169917889,2025-01-01
5527IM6010092,109.6,2025-03,Cotton Premium,21.325969306173043,Verano,21.325969306173043,88.27403069382694,2025-01-01
5527IM6010092,109.6,2025-04,Cotton Premium,18.911688359559832,Verano,18.911688359559832,90.68831164044016,2025-01-01
5527IM6010092,109.6,2025-05,Cotton Premium,19.734644382776708,Verano,19.734644382776708,89.86535561722329,2025-01-01
