Product_Code,Stock
1100AN1010003,244.7
1100AN1010022,365.3
1100AN1010026,0.0
1100AN1010033,399.8
1100AN1010034,0.0
1100AN1010073,0.0
1100AN1010134,342.8
1100AN1010219,1.8
1100AN1010425,187.2
1100AN1010539,0.0
1100AN1010712,0.0
1100AN1010718,413.5
1100AN1010728,297.2
1100AN1010732,433.9
1100AN1010735,509.1
1100AN1010740,371.4
1100AN1010769,484.3
1100AN1010772,77.7
1100AN1010807,602.0
1100AN1010811,605.7
1100AN1010829,318.3
1100AN1010831,163.6
1100AN1010845,0.0
1100AN1010875,198.2
1100AN1010880,32.9
1100AN1010882,295.6
1100AN1010888,136.8
1100AN1010900,231.2
1100AN1011102,689.7
1100AN1011302,355.2
1100AN1011777,247.1
1100AN1011788,46.3
1100AN1011799,193.5
1100AN1012302,601.3
1100AN1012903,126.4
1100AN1013102,257.3
1100AN1013202,295.7
1100AN1013602,428.3
1100AN1013902,398.3
1100AN1013910,0.0
1100AN1013916,307.8
1100AN1013917,174.4
1100AN1014015,0.0
1100AN1014204,0.0
1100AN1014850,250.9
1100AN1015002,0.0
1100AN1015029,633.7
1100AN1015032,296.7
1100AN1015033,322.5
1100AN1015102,410.2
1100AN1015204,391.1
1100AN1015302,445.6
1100AN1015502,357.8
1100AN1016202,759.1
1100AN1016402,434.4
1100AN1016702,553.8
1100AN1016890,15.5
1100AN1016902,433.4
1100AN1017000,0.0
1100AN1017007,129.6
1100AN1017402,344.2
1100AN1017802,241.0
1100AN1017902,259.4
1100AN1018003,163.8
1100AN1018902,1371.6
1100AN1019102,0.0
1100AN1019202,0.0
1100AN1019300,0.0
1100AN1019502,0.0
1100AN1019602,0.0
1101PA1050041,0.0
1101PA1050073,0.0
1101PA1050425,0.0
1101PA1050712,0.0
1101PA1050728,0.0
1101PA1050732,0.0
1101PA1050735,0.0
1101PA1050740,0.0
1101PA1050769,0.0
1101PA1050772,0.0
1101PA1050807,0.0
1101PA1050811,0.0
1101PA1050824,0.0
1101PA1050829,0.0
1101PA1050830,0.0
1101PA1050875,0.0
1101PA1050882,0.0
1101PA1050883,0.0
1101PA1050897,0.0
1101PA1050900,0.0
1101PA1051100,0.0
1101PA1051102,0.0
1101PA1051302,0.0
1101PA1051777,0.0
1101PA1051788,0.0
1101PA1051799,0.0
1101PA1052302,0.0
1101PA1052903,0.0
1101PA1053102,0.0
1101PA1053202,0.0
1101PA1053902,0.0
1101PA1053916,0.0
1101PA1053917,0.0
1101PA1054850,0.0
1101PA1055032,0.0
1101PA1055033,0.0
1101PA1055302,0.0
1101PA1055502,0.0
1101PA1056202,0.0
1101PA1056402,0.0
1101PA1056503,0.0
1101PA1056702,0.0
1101PA1056890,0.0
1101PA1057902,0.0
1101PA1058003,0.0
1101PA1058902,0.0
1101PA1059202,0.0
1101PA1059300,0.0
1102PA1010033,0.0
1102PA1010034,0.0
1102PA1010041,0.0
1102PA1010073,40.0
1102PA1010392,0.0
1102PA1010425,50.0
1102PA1010439,0.0
1102PA1010712,0.0
1102PA1010718,20.0
1102PA1010728,0.0
1102PA1010732,30.0
1102PA1010735,20.0
1102PA1010738,0.0
1102PA1010740,0.0
1102PA1010769,140.0
1102PA1010772,0.0
1102PA1010807,60.0
1102PA1010811,0.0
1102PA1010821,0.0
1102PA1010824,0.0
1102PA1010829,0.0
1102PA1010831,0.0
1102PA1010845,60.0
1102PA1010875,0.0
1102PA1010882,0.0
1102PA1010883,0.0
1102PA1011100,0.0
1102PA1011102,0.0
1102PA1011302,0.0
1102PA1011777,50.0
1102PA1011788,30.0
1102PA1011799,60.0
1102PA1012302,0.0
1102PA1012903,50.0
1102PA1013102,0.0
1102PA1013202,0.0
1102PA1013902,0.0
1102PA1013916,248.9
1102PA1013917,0.0
1102PA1014850,0.0
1102PA1015032,0.0
1102PA1015102,20.0
1102PA1015204,0.0
1102PA1015302,0.0
1102PA1015502,50.0
1102PA1016202,70.0
1102PA1016402,246.6
1102PA1016702,50.0
1102PA1016890,150.0
1102PA1016902,0.0
1102PA1017007,0.0
1102PA1017707,0.0
1102PA1017802,0.0
1102PA1017902,0.0
1102PA1018003,0.0
1102PA1018902,100.0
1102PA1019102,0.0
1102PA1019202,0.0
1102PA1019300,0.0
1102PA1019502,0.0
1102PA1019602,0.0
1103NA1010003,0.0
1103NA1010022,0.0
1103NA1010029,0.0
1103NA1010033,0.0
1103NA1010034,0.0
1103NA1010038,0.0
1103NA1010073,0.0
1103NA1010112,0.0
1103NA1010134,0.0
1103NA1010279,0.0
1103NA1010425,0.0
1103NA1010439,0.0
1103NA1010539,0.0
1103NA1010712,0.0
1103NA1010718,0.0
1103NA1010727,0.0
1103NA1010728,0.0
1103NA1010731,0.0
1103NA1010734,0.0
1103NA1010735,0.0
1103NA1010740,0.0
1103NA1010749,0.0
1103NA1010769,0.0
1103NA1010772,0.0
1103NA1010800,0.0
1103NA1010801,0.0
1103NA1010802,0.0
1103NA1010803,0.0
1103NA1010804,0.0
