Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,6.960043248906063,94.1,87.13995675109393
2025-02,15.760500839922424,94.1,71.3794559111715
2025-03,16.342691098077633,94.1,55.03676481309387
2025-04,28.54796302567448,94.1,26.488801787419387
2025-05,35.18220291968706,94.1,-8.69340113226767
2025-06,37.70027063146531,94.1,-46.39367176373298
2025-07,31.235396675556206,94.1,-77.62906843928918
2025-08,23.59527592392328,94.1,-101.22434436321247
2025-09,11.09420390532429,94.1,-112.31854826853676
2025-10,11.716945451164872,94.1,-124.03549371970163
2025-11,10.057777553074567,94.1,-134.0932712727762
2025-12,8.542754366920116,94.1,-142.63602563969633
