Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,6.000828940467106,237.3,231.2991710595329
2025-02,8.41223477390495,237.3,222.88693628562797
2025-03,14.869837181683254,237.3,208.0170991039447
2025-04,18.22322185794974,237.3,189.79387724599496
2025-05,21.63173135329336,237.3,168.1621458927016
2025-06,21.60717345313349,237.3,146.5549724395681
2025-07,21.95615604189001,237.3,124.59881639767809
2025-08,13.351860270041104,237.3,111.24695612763699
2025-09,8.669862163626748,237.3,102.57709396401025
2025-10,7.778614233448828,237.3,94.79847973056141
2025-11,7.139326748372202,237.3,87.65915298218921
2025-12,5.415084425782808,237.3,82.2440685564064
