Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,17.673653518350463,26.4,8.726346481649536
2025-02,24.77573085051854,26.4,-16.049384368869003
2025-03,43.79467450756862,26.4,-59.84405887643763
2025-04,53.671069830623175,26.4,-113.5151287070608
2025-05,63.70981888218696,26.4,-177.22494758924776
2025-06,63.637490905024215,26.4,-240.86243849427197
2025-07,64.66531513044525,26.4,-305.5277536247172
2025-08,39.32392584078014,26.4,-344.85167946549734
2025-09,25.53449555918656,26.4,-370.3861750246839
2025-10,22.90959035472568,26.4,-393.29576537940954
2025-11,21.02675956218813,26.4,-414.3225249415977
2025-12,15.94851759038002,26.4,-430.2710425319777
