Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,1.2773750443854628,0.0,-1.2773750443854628
2025-02,1.4015211874525044,0.0,-2.6788962318379674
2025-03,2.524112845230453,0.0,-5.203009077068421
2025-04,2.894056799782584,0.0,-8.097065876851005
2025-05,3.0485189639455617,0.0,-11.145584840796566
2025-06,2.596211737031342,0.0,-13.741796577827909
2025-07,2.8097283412568017,0.0,-16.55152491908471
2025-08,2.0915317316112643,0.0,-18.643056650695975
2025-09,1.5406451683087017,0.0,-20.183701819004675
2025-10,1.9236737584477248,0.0,-22.107375577452398
2025-11,1.4192316352482268,0.0,-23.526607212700625
2025-12,0.8749649033491332,0.0,-24.40157211604976
