Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,2.7732484516263334,0.0,-2.7732484516263334
2025-02,3.0427762622324104,0.0,-5.816024713858743
2025-03,5.479981835039798,0.0,-11.296006548898541
2025-04,6.283149631106925,0.0,-17.579156180005466
2025-05,6.618495119092337,0.0,-24.197651299097803
2025-06,5.636512323818045,0.0,-29.83416362291585
2025-07,6.100068109307529,0.0,-35.93423173222338
2025-08,4.540825469945508,0.0,-40.47505720216889
2025-09,3.3448217469859967,0.0,-43.81987894915489
2025-10,4.176396975577297,0.0,-47.99627592473219
2025-11,3.0812265765257547,0.0,-51.077502501257946
2025-12,1.8995948559553548,0.0,-52.9770973572133
