Month,Familia,Product_Code,Forecast_Product
2025-02,Baby Soft,1148AN1010026,55.5471253595409
2025-02,Baby Soft,1148AN1010034,40.01693794392962
2025-02,Baby Soft,1148AN1010039,41.002981589365255
2025-02,Baby Soft,1148AN1010041,35.55235143820715
2025-02,Baby Soft,1148AN1010050,24.557182217278015
2025-02,Baby Soft,1148AN1010081,50.581691287882876
2025-02,Baby Soft,1148AN1010229,46.882071181694805
2025-02,Baby Soft,1148AN1010439,31.664913494793236
2025-02,Baby Soft,1148AN1010730,36.27818912165282
2025-02,Baby Soft,1148AN1010734,44.53043534476298
2025-02,Baby Soft,1148AN1010812,28.362449856905624
2025-02,Baby Soft,1148AN1010831,27.38031908307886
2025-02,Baby Soft,1148AN1010875,36.876858477810174
2025-02,Baby Soft,1148AN1010888,48.75633668234428
2025-02,Baby Soft,1148AN1011102,153.40217499000573
2025-02,Baby Soft,1148AN1011302,74.18608926840066
2025-02,Baby Soft,1148AN1013401,30.890164916236664
2025-02,Baby Soft,1148AN1013602,35.687345508713214
2025-02,Baby Soft,1148AN1013902,18.081379704595555
2025-02,Baby Soft,1148AN1014204,22.573356311580127
2025-02,Baby Soft,1148AN1016402,20.816476959196788
2025-02,Baby Soft,1148AN1018902,57.21400866492019
2025-02,Bebe 100,5615IMD100208,13.612880327264214
2025-02,Bebe 100,5615IMD100214,2.846614095454072
2025-02,Bebe 100,5615IMD100215,4.255247874647839
2025-02,Bebe 100,5615IMD100217,2.2146853306213123
2025-02,Bebe 100,5615IMD100229,3.208554719274693
2025-02,Bebe 100,5615IMD100247,1.0760396924396836
2025-02,Bebe 100,5615IMD100256,1.4868912113711992
2025-02,Bebe 100,5615IMD101036,0.9195248280848205
2025-02,Bebe 100,5615IMD101199,0.8217030378630311
2025-02,Bebe 100,5615IMD101291,0.3717228028427998
2025-02,Bebe 100,5615IMD101292,0.2347722965322946
2025-02,Bebe 100,5615IMD102197,5.364546975762932
2025-02,Bebe 100,5615IMD102587,2.9444358856758615
2025-02,Bebe 100,5615IMD103641,2.2596833541233354
2025-02,Bebe 100,5615IMD104895,2.911176477000453
2025-02,Bebe 100,5615IMD110094,2.386851681411662
2025-02,Bebe 100,5615IMD123070,2.1227328478128302
2025-02,Bebe 100,5615IMD199054,3.055952726528701
2025-02,Lolipop,5601IMD180430,16.698179590859453
2025-02,Lolipop,5601IMD180431,15.358021064820939
2025-02,Lolipop,5601IMD180432,15.661268614508487
2025-02,Lolipop,5601IMD180433,12.49184261132251
2025-02,Lolipop,5601IMD180434,17.32423904827891
2025-02,Lolipop,5601IMD180437,14.814131911187792
2025-02,Lolipop,5601IMD180440,20.534750203358033
2025-02,Lolipop,5601IMD180563,15.894084475236346
2025-02,Lolipop,5601IMD181117,10.701703850263764
2025-02,Super Nene,1140NA1010001,27.42140423497201
2025-02,Super Nene,1140NA1010003,45.710166134837756
2025-02,Super Nene,1140NA1010004,14.522622976326856
2025-02,Super Nene,1140NA1010005,22.796389993285807
2025-02,Super Nene,1140NA1010007,20.452579899571735
2025-02,Super Nene,1140NA1010008,16.496666703002568
2025-02,Super Nene,1140NA1010009,7.078384740448683
2025-02,Super Nene,1140NA1010011,1.193425840705831
2025-02,Super Nene,1140NA1010026,42.8263797590994
2025-02,Super Nene,1140NA1010033,0.9782179022178942
2025-02,Super Nene,1140NA1010034,30.08215692900468
2025-02,Super Nene,1140NA1010073,41.98511236319202
2025-02,Super Nene,1140NA1010439,21.010164103835933
2025-02,Super Nene,1140NA1010730,41.88337770136136
2025-02,Super Nene,1140NA1010731,25.0208575029293
2025-02,Super Nene,1140NA1010732,20.72061160477943
2025-02,Super Nene,1140NA1010734,27.715847823539598
2025-02,Super Nene,1140NA1010829,28.479836005171773
2025-02,Super Nene,1140NA1011102,127.22506392665487
2025-02,Super Nene,1140NA1011302,29.166544972528733
2025-02,Super Nene,1140NA1013303,2.328158607278588
2025-02,Super Nene,1140NA1013952,29.690869768117523
2025-02,Super Nene,1140NA1016902,2.210772459012441
2025-02,Super Nene,1140NA1018902,42.573999540327186
2025-03,Baby Jakard,5602IMD181306,12.606971292962212
2025-03,Baby Jakard,5602IMD181307,11.441936818463535
2025-03,Baby Jakard,5602IMD181309,8.370482294785209
2025-03,Baby Jakard,5602IMD181310,11.134449713757139
2025-03,Baby Jakard,5602IMD181311,10.109492698069154
2025-03,Baby Jakard,5602IMD181315,14.588554856625649
2025-03,Baby Jakard,5602IMD181316,15.135198598325909
2025-03,Baby Jakard,5602IMD181317,13.519183036924517
2025-03,Baby Jakard,5602IMD181318,10.826962609050744
2025-03,Baby Jakard,5602IMD181319,13.860835375487179
2025-03,Baby Soft,1148AN1010003,97.85606281111752
2025-03,Baby Soft,1148AN1010014,56.34872019913978
2025-03,Baby Soft,1148AN1010024,42.72362493726083
2025-03,Baby Soft,1148AN1010026,97.00193196471086
2025-03,Baby Soft,1148AN1010034,69.8815693296068
2025-03,Baby Soft,1148AN1010039,71.60349711596261
2025-03,Baby Soft,1148AN1010041,62.08506296360686
2025-03,Baby Soft,1148AN1010050,42.884201536385284
2025-03,Baby Soft,1148AN1010081,88.33079561199052
2025-03,Baby Soft,1148AN1010229,81.8701498897706
2025-03,Baby Soft,1148AN1010439,55.29643099636677
2025-03,Baby Soft,1148AN1010730,63.352593139674326
2025-03,Baby Soft,1148AN1010734,77.7634887802474
2025-03,Baby Soft,1148AN1010812,49.529339521429044
2025-03,Baby Soft,1148AN1010831,47.81424478184449
2025-03,Baby Soft,1148AN1010875,64.39804929567607
2025-03,Baby Soft,1148AN1010888,85.14317929320089
2025-03,Baby Soft,1148AN1011102,267.88618214359735
2025-03,Baby Soft,1148AN1011302,129.55115025957565
2025-03,Baby Soft,1148AN1013401,53.943487735658636
2025-03,Baby Soft,1148AN1013602,62.320803077215096
2025-03,Baby Soft,1148AN1013902,31.575509129961183
2025-03,Baby Soft,1148AN1014204,39.4198468233599
2025-03,Baby Soft,1148AN1016402,36.35180882306719
2025-03,Baby Soft,1148AN1018902,99.91280988926475
2025-03,Bebe 100,5615IMD100208,23.772169717189993
2025-03,Bebe 100,5615IMD100214,4.971041526086727
2025-03,Bebe 100,5615IMD100215,7.43093836373789
2025-03,Bebe 100,5615IMD100217,3.8675044725293293
2025-03,Bebe 100,5615IMD100229,5.60309835242765
2025-03,Bebe 100,5615IMD100247,1.8790878620946385
2025-03,Bebe 100,5615IMD100256,2.596557773076228
2025-03,Bebe 100,5615IMD101036,1.6057659912445095
2025-03,Bebe 100,5615IMD101199,1.4349398219631788
2025-03,Bebe 100,5615IMD101291,0.649139443269057
2025-03,Bebe 100,5615IMD101292,0.40998280627519385
2025-03,Bebe 100,5615IMD102197,9.36810712338818
2025-03,Bebe 100,5615IMD102587,5.141867695368057
2025-03,Bebe 100,5615IMD103641,3.946084510398741
2025-03,Bebe 100,5615IMD104895,5.0837867978124045
2025-03,Bebe 100,5615IMD110094,4.1681585304644715
2025-03,Bebe 100,5615IMD123070,3.7069278734048785
2025-03,Bebe 100,5615IMD199054,5.336609528348774
2025-03,Lolipop,5601IMD180430,29.160027096323166
2025-03,Lolipop,5601IMD180431,26.819708577168935
2025-03,Lolipop,5601IMD180432,27.34926970194106
2025-03,Lolipop,5601IMD180433,21.814501817225942
2025-03,Lolipop,5601IMD180434,30.253314579723686
2025-03,Lolipop,5601IMD180437,25.869915075964737
2025-03,Lolipop,5601IMD180440,35.85982945553695
2025-03,Lolipop,5601IMD180563,27.75583598483063
2025-03,Lolipop,5601IMD181117,18.688382919377588
2025-03,Super Nene,1140NA1010001,47.88599177294265
2025-03,Super Nene,1140NA1010003,79.82365238178026
2025-03,Super Nene,1140NA1010004,25.36085309150637
2025-03,Super Nene,1140NA1010005,39.80933048932133
2025-03,Super Nene,1140NA1010007,35.71633547334065
2025-03,Super Nene,1140NA1010008,28.80812518760363
2025-03,Super Nene,1140NA1010009,12.360981609197099
2025-03,Super Nene,1140NA1010011,2.0840792652322357
2025-03,Super Nene,1140NA1010026,74.78769691136662
2025-03,Super Nene,1140NA1010033,1.708261692813308
2025-03,Super Nene,1140NA1010034,52.53246357739485
2025-03,Super Nene,1140NA1010073,73.3185918555472
2025-03,Super Nene,1140NA1010439,36.69004463824423
2025-03,Super Nene,1140NA1010730,73.14093263949461
2025-03,Super Nene,1140NA1010731,43.693917578778795
2025-03,Super Nene,1140NA1010732,36.18439917717149
2025-03,Super Nene,1140NA1010734,48.40017854247946
2025-03,Super Nene,1140NA1010829,49.734330924566656
2025-03,Super Nene,1140NA1011102,222.1730992439132
2025-03,Super Nene,1140NA1011302,50.933530632921595
2025-03,Super Nene,1140NA1013303,4.0656628288956735
2025-03,Super Nene,1140NA1013952,51.84915890026953
2025-03,Super Nene,1140NA1016902,3.8606714257580768
2025-03,Super Nene,1140NA1018902,74.3469653946208
2025-04,Baby Jakard,5602IMD181306,14.233910626957828
2025-04,Baby Jakard,5602IMD181307,12.91852755817934
2025-04,Baby Jakard,5602IMD181309,9.450699467763327
2025-04,Baby Jakard,5602IMD181310,12.571359006302318
2025-04,Baby Jakard,5602IMD181311,11.414130500045585
2025-04,Baby Jakard,5602IMD181315,16.471219072387512
2025-04,Baby Jakard,5602IMD181316,17.08840760905777
2025-04,Baby Jakard,5602IMD181317,15.263843997526319
2025-04,Baby Jakard,5602IMD181318,12.224190454425298
2025-04,Baby Jakard,5602IMD181319,15.649586832945232
2025-04,Baby Soft,1148AN1010003,110.48446292068458
2025-04,Baby Soft,1148AN1010014,63.620565845641046
2025-04,Baby Soft,1148AN1010024,48.237141569134856
2025-04,Baby Soft,1148AN1010026,109.52010583213729
2025-04,Baby Soft,1148AN1010034,78.89983955658413
2025-04,Baby Soft,1148AN1010039,80.84398344709544
2025-04,Baby Soft,1148AN1010041,70.09718805232457
2025-04,Baby Soft,1148AN1010050,48.41844070178175
2025-04,Baby Soft,1148AN1010081,99.72995266920533
2025-04,Baby Soft,1148AN1010229,92.43555565143373
2025-04,Baby Soft,1148AN1010439,62.432477912550794
2025-04,Baby Soft,1148AN1010730,71.52829397172871
2025-04,Baby Soft,1148AN1010734,87.79892676969841
2025-04,Baby Soft,1148AN1010812,55.92113885067957
2025-04,Baby Soft,1148AN1010831,53.98470981687664
2025-04,Baby Soft,1148AN1010875,72.70866704811058
2025-04,Baby Soft,1148AN1010888,96.13097201474689
2025-04,Baby Soft,1148AN1011102,302.45709982361416
2025-04,Baby Soft,1148AN1011302,146.269825762497
2025-04,Baby Soft,1148AN1013401,60.90493628429191
2025-04,Baby Soft,1148AN1013602,70.36335060876361
2025-04,Baby Soft,1148AN1013902,35.65035284941578
2025-04,Baby Soft,1148AN1014204,44.50700835063399
2025-04,Baby Soft,1148AN1016402,41.04303768857216
2025-04,Baby Soft,1148AN1018902,112.80663478990643
2025-04,Bebe 100,5615IMD100208,26.839986488447853
2025-04,Bebe 100,5615IMD100214,5.612558255345161
2025-04,Bebe 100,5615IMD100215,8.389906670361322
2025-04,Bebe 100,5615IMD100217,4.366608896942076
2025-04,Bebe 100,5615IMD100229,6.326182500870146
2025-04,Bebe 100,5615IMD100247,2.1215855948040123
2025-04,Bebe 100,5615IMD100256,2.931645549183726
2025-04,Bebe 100,5615IMD101036,1.8129913264688833
2025-04,Bebe 100,5615IMD101199,1.6201199087594278
2025-04,Bebe 100,5615IMD101291,0.7329113872959315
2025-04,Bebe 100,5615IMD101292,0.4628914025026936
2025-04,Bebe 100,5615IMD102197,10.577068547186549
2025-04,Bebe 100,5615IMD102587,5.805429673054616
2025-04,Bebe 100,5615IMD103641,4.455329749088426
2025-04,Bebe 100,5615IMD104895,5.739853391033401
2025-04,Bebe 100,5615IMD110094,4.706062592110719
2025-04,Bebe 100,5615IMD123070,4.185309764295188
2025-04,Bebe 100,5615IMD199054,6.025303089243395
2025-04,Lolipop,5601IMD180430,32.92315100300408
2025-04,Lolipop,5601IMD180431,30.280812580384538
2025-04,Lolipop,5601IMD180432,30.87871397528385
2025-04,Lolipop,5601IMD180433,24.629680041497487
2025-04,Lolipop,5601IMD180434,34.1575280763446
2025-04,Lolipop,5601IMD180437,29.208447497919966
2025-04,Lolipop,5601IMD180440,40.487568005568924
2025-04,Lolipop,5601IMD180563,31.337747949432355
2025-04,Lolipop,5601IMD181117,21.10013309741445
2025-04,Super Nene,1140NA1010001,54.065715812314615
2025-04,Super Nene,1140NA1010003,90.12495606727445
2025-04,Super Nene,1140NA1010004,28.63369067314579
2025-04,Super Nene,1140NA1010005,44.946755183011554
2025-04,Super Nene,1140NA1010007,40.325556014693
2025-04,Super Nene,1140NA1010008,32.52583588252261
2025-04,Super Nene,1140NA1010009,13.956175785456214
2025-04,Super Nene,1140NA1010011,2.353031296055359
2025-04,Super Nene,1140NA1010026,84.43910667319969
2025-04,Super Nene,1140NA1010033,1.9287141770945568
2025-04,Super Nene,1140NA1010034,59.31181837401181
2025-04,Super Nene,1140NA1010073,82.78041248089839
2025-04,Super Nene,1140NA1010439,41.42492309563689
2025-04,Super Nene,1140NA1010730,82.57982620648055
2025-04,Super Nene,1140NA1010731,49.332651221724575
2025-04,Super Nene,1140NA1010732,40.854023699216896
2025-04,Super Nene,1140NA1010734,54.646258779620084
2025-04,Super Nene,1140NA1010829,56.15258455193093
2025-04,Super Nene,1140NA1011102,250.84470844456385
2025-04,Super Nene,1140NA1011302,57.50654190425131
2025-04,Super Nene,1140NA1013303,4.590339741485045
2025-04,Super Nene,1140NA1013952,58.54033270317399
2025-04,Super Nene,1140NA1016902,4.358894040233698
2025-04,Super Nene,1140NA1018902,83.9414984155093
2025-05,Baby Jakard,5602IMD181306,15.20353790637284
2025-05,Baby Jakard,5602IMD181307,13.798549715025105
2025-05,Baby Jakard,5602IMD181309,10.094489937835625
2025-05,Baby Jakard,5602IMD181310,13.427731717308694
2025-05,Baby Jakard,5602IMD181311,12.191671724920658
2025-05,Baby Jakard,5602IMD181315,17.593253891656374
2025-05,Baby Jakard,5602IMD181316,18.252485887596663
2025-05,Baby Jakard,5602IMD181317,16.30363129959819
2025-05,Baby Jakard,5602IMD181318,13.056913719592282
2025-05,Baby Jakard,5602IMD181319,16.71565129706087
2025-05,Baby Soft,1148AN1010003,118.0107676732604
2025-05,Baby Soft,1148AN1010014,67.95445818151958
2025-05,Baby Soft,1148AN1010024,51.523100682707955
2025-05,Baby Soft,1148AN1010026,116.98071767960369
2025-05,Baby Soft,1148AN1010034,84.27457028101628
