Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,38.87202858576196,239.3,42.6,281.90000000000003,243.02797141423807
2025-02,28.11084753603261,239.3,42.6,281.90000000000003,214.91712387820544
2025-03,33.156769905043284,239.3,42.6,281.90000000000003,181.76035397316215
2025-04,30.720375345425904,239.3,42.6,281.90000000000003,151.03997862773625
2025-05,33.601524106173,239.3,42.6,281.90000000000003,117.43845452156324
2025-06,28.44842513039724,239.3,42.6,281.90000000000003,88.990029391166
2025-07,41.09404886180541,239.3,42.6,281.90000000000003,47.89598052936059
2025-08,73.2825937166062,239.3,42.6,281.90000000000003,-25.386613187245608
2025-09,83.2637649607235,239.3,42.6,281.90000000000003,-108.65037814796912
2025-10,99.96095729684924,239.3,42.6,281.90000000000003,-208.61133544481837
2025-11,83.24165951849731,239.3,42.6,281.90000000000003,-291.85299496331567
2025-12,50.046228777259614,239.3,42.6,281.90000000000003,-341.8992237405753
