Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,25.881957972809023,293.2,267.318042027191
2025-02,19.05753951383133,293.2,248.26050251335965
2025-03,22.048308343822463,293.2,226.21219416953718
2025-04,19.55225247994501,293.2,206.6599416895922
2025-05,20.40308312181598,293.2,186.25685856777622
2025-06,16.188312584769793,293.2,170.06854598300643
2025-07,24.869985111685285,293.2,145.19856087132115
2025-08,42.60539176835292,293.2,102.59316910296823
2025-09,49.47350695894121,293.2,53.119662144027025
2025-10,60.23224921269136,293.2,-7.112587068664332
2025-11,47.11665091415431,293.2,-54.229237982818645
2025-12,33.51396531886361,293.2,-87.74320330168226
