Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,35.8976002605062,517.704,481.80639973949377
2025-02,39.38643358106657,517.704,442.4199661584272
2025-03,70.93421335320002,517.704,371.4857528052272
2025-04,81.3306120128374,517.704,290.15514079238983
2025-05,85.67140530519646,517.704,204.48373548719337
2025-06,72.9603819467308,517.704,131.52335354046255
2025-07,78.9607604112668,517.704,52.56259312919575
2025-08,58.7775456891492,517.704,-6.214952559953453
2025-09,43.29618355886481,517.704,-49.511136118818264
2025-10,54.0602949117454,517.704,-103.57143103056367
2025-11,39.88414377056793,517.704,-143.4555748011316
2025-12,24.588816323329983,517.704,-168.04439112446158
