Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,33.35416946605554,503.422,16.3,519.722,486.36783053394447
2025-02,38.50944566135636,503.422,16.3,519.722,447.8583848725881
2025-03,61.717545849773884,503.422,16.3,519.722,386.1408390228142
2025-04,77.73733144219338,503.422,16.3,519.722,308.40350758062084
2025-05,86.85599383397324,503.422,16.3,519.722,221.5475137466476
2025-06,72.54954261086806,503.422,16.3,519.722,148.99797113577955
2025-07,80.23379666669997,503.422,16.3,519.722,68.76417446907958
2025-08,59.13480079914808,503.422,16.3,519.722,9.629373669931496
2025-09,40.913993709615,503.422,16.3,519.722,-31.284620039683503
2025-10,49.24527243845938,503.422,16.3,519.722,-80.52989247814288
2025-11,39.12803801832666,503.422,16.3,519.722,-119.65793049646955
2025-12,23.051310530832424,503.422,16.3,519.722,-142.70924102730197
