Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,11.51750009141925,481.7,470.1824999085807
2025-02,16.14575515127893,481.7,454.0367447573018
2025-03,28.53994886348069,481.7,425.4967958938211
2025-04,34.976161043269435,481.7,390.5206348505517
2025-05,41.51817529058236,481.7,349.00245955996934
2025-06,41.47104086629825,481.7,307.53141869367107
2025-07,42.14084949403662,481.7,265.39056919963446
2025-08,25.6264681773857,481.7,239.76410102224875
2025-09,16.640224084506336,481.7,223.1238769377424
2025-10,14.929635727608034,481.7,208.19424121013438
2025-11,13.702639634091645,481.7,194.49160157604274
2025-12,10.393269994485408,481.7,184.09833158155732
