Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,4.167242319768824,4.88,0.7127576802311761
2025-02,5.841829704100661,4.88,-5.129072023869485
2025-03,10.32627582061337,4.88,-15.455347844482855
2025-04,12.655015179131766,4.88,-28.11036302361462
2025-05,15.022035662009277,4.88,-43.1323986856239
2025-06,15.004981564676038,4.88,-58.137380250299934
2025-07,15.247330584645844,4.88,-73.38471083494578
2025-08,9.272125187528545,4.88,-82.65683602247432
2025-09,6.020737613629686,4.88,-88.67757363610401
2025-10,5.40181543989502,4.88,-94.07938907599903
2025-11,4.957865797480696,4.88,-99.03725487347972
2025-12,3.7604752956825047,4.88,-102.79773016916224
