Date,Forecast_Sales,Lower_Bound,Upper_Bound
2025-01-01,6652.412859035063,4799.3882292078,8505.437488862326
2025-02-01,4778.38578514752,2925.3611553202572,6631.410414974784
2025-03-01,5676.423755904212,3823.399126076949,7529.448385731475
2025-04-01,4907.937252992118,3054.912623164855,6760.961882819382
2025-05-01,5120.437148604698,3267.4125187774353,6973.461778431962
2025-06-01,4524.475973283117,2671.451343455854,6377.50060311038
2025-07-01,6299.63987893322,4446.6152491059565,8152.664508760483
2025-08-01,10996.801895109562,9143.777265282299,12849.826524936825
2025-09-01,12797.331986137218,10944.307356309955,14650.356615964482
2025-10-01,15233.802874733366,13380.778244906103,17086.827504560628
2025-11-01,11869.600772733442,10016.576142906179,13722.625402560705
2025-12-01,8424.572323451313,6571.54769362405,10277.596953278577
