Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,21.570805681923307,0.0,156.3,156.3,134.7291943180767
2025-02,24.90482547092302,0.0,156.3,156.3,109.82436884715369
2025-03,39.91396607987865,0.0,156.3,156.3,69.91040276727504
2025-04,50.27428047570945,0.0,156.3,156.3,19.63612229156559
2025-05,56.171501053554266,0.0,156.3,156.3,-36.535378761988675
2025-06,46.91923411746463,0.0,156.3,156.3,-83.45461287945331
2025-07,51.88879425649223,0.0,156.3,156.3,-135.34340713594554
2025-08,38.24365341717852,0.0,156.3,156.3,-173.58706055312405
2025-09,26.45989458318561,0.0,156.3,156.3,-200.04695513630966
2025-10,31.847898464521524,0.0,156.3,156.3,-231.8948536008312
2025-11,25.30488146818324,0.0,156.3,156.3,-257.1997350690144
2025-12,14.90774161474157,0.0,156.3,156.3,-272.107476683756
