Ovillo_Code,Cono_Stock,Ovillo_Stock,Stock_total
1106AN1010062,122.566,64.8,187.36599999999999
1106AN1010064,240.886,86.5,327.38599999999997
1106AN1010065,183.29,155.4,338.69
1106AN1010075,0.0,0.0,0.0
1106AN1010076,0.0,0.0,0.0
1106AN1010077,402.736,81.4,484.13599999999997
1106AN1010078,0.0,0.0,0.0
1106AN1010079,0.0,0.0,0.0
1106AN1010080,0.0,0.0,0.0
1106AN1010081,0.0,0.0,0.0
1106AN1010082,243.198,74.8,317.998
1106AN1010083,0.0,0.0,0.0
1106AN1010085,320.762,72.1,392.86199999999997
1106AN1010086,0.0,0.0,0.0
1106AN1010087,0.0,0.0,0.0
1106AN1010088,0.0,0.0,0.0
1106AN1010090,0.0,0.0,0.0
1106AN1010093,0.0,0.0,0.0
1106AN1010096,0.0,0.0,0.0
1106AN1010098,0.0,0.0,0.0
1106AN1010103,0.0,113.0,113.0
1106AN1010112,0.0,0.0,0.0
1106AN1010114,0.0,0.0,0.0
1106AN1010118,0.0,0.0,0.0
1106AN1010125,319.918,93.1,413.01800000000003
1106AN1010181,0.0,0.0,0.0
1106AN1010182,0.0,0.0,0.0
1119AN1050472,0.0,15.05,15.05
1119AN1050475,0.0,9.25,9.25
1119AN1050477,0.0,0.8,0.8
1119AN1050478,0.0,4.6,4.6
1119AN1050481,0.0,1.1,1.1
1119AN1050482,0.0,26.45,26.45
1119AN1050487,0.0,42.15,42.15
1119AN1050488,0.0,43.25,43.25
1119AN1050489,0.0,0.0,0.0
1123AN1050001,0.0,1.6,1.6
1123AN1050002,0.0,0.0,0.0
1123AN1050003,0.0,0.0,0.0
1123AN1050004,0.0,0.0,0.0
1123AN1050005,0.0,0.0,0.0
1123AN1050006,0.0,1.25,1.25
1123AN1050007,0.0,0.0,0.0
1123AN1050008,0.0,0.0,0.0
1123AN1050009,0.0,0.0,0.0
1123AN1050010,0.0,0.0,0.0
1123AN1050011,0.0,1.6,1.6
1123AN1050012,0.0,0.65,0.65
1123AN1050013,0.0,0.75,0.75
1123AN1050014,0.0,0.0,0.0
1123AN1050015,0.0,19.0,19.0
1123AN1050016,0.0,0.0,0.0
1123AN1050017,0.0,0.85,0.85
1123AN1050018,0.0,2.0,2.0
1123AN1050019,0.0,0.0,0.0
1123AN1050020,0.0,83.0,83.0
1123AN1050021,0.0,0.0,0.0
1123AN1050022,0.0,0.2,0.2
1123AN1050023,0.0,60.05,60.05
1123AN1050024,0.0,1.35,1.35
1123AN1050025,0.0,47.2,47.2
1123AN1050026,0.0,0.2,0.2
1123AN1050027,0.0,0.9,0.9
1123AN1050028,0.0,118.95,118.95
1123AN1050029,0.0,0.0,0.0
1123AN1050030,0.0,1.7000000000000002,1.7000000000000002
1123AN1050031,0.0,-1.0,-1.0
1123AN1050032,0.0,0.0,0.0
1123AN1050033,0.0,0.0,0.0
1123AN1050034,0.0,0.0,0.0
1123AN1050036,0.0,0.0,0.0
1123AN1050037,0.0,0.39,0.39
1123AN1050041,0.0,0.45,0.45
1123AN1050134,0.0,0.0,0.0
1123AN1050425,0.0,0.0,0.0
1123AN1050718,0.0,8.8,8.8
1123AN1050829,0.0,1.4,1.4
1123AN1050831,0.0,10.5,10.5
1123AN1050888,0.0,1.9,1.9
1123AN1051777,0.0,0.6,0.6
1123AN1051788,0.0,1.1,1.1
1123AN1051799,0.0,0.45,0.45
1123AN1053602,110.0,1.45,111.45
1123AN1053902,0.0,131.5,131.5
1123AN1055032,0.0,1.5,1.5
1123AN1055204,0.0,0.0,0.0
1123AN1055502,0.0,0.6,0.6
1123AN1056902,0.0,189.75,189.75
1123AN1057802,0.0,0.0,0.0
1123AN1058003,0.0,1.05,1.05
1129ANB310001,0.0,0.0,0.0
1129ANB310002,0.0,0.0,0.0
1129ANB310003,0.0,0.0,0.0
1129ANB310004,0.0,0.0,0.0
1129ANB310005,0.0,0.0,0.0
1129ANB310006,0.0,0.0,0.0
1129ANB310007,0.0,0.0,0.0
1129ANB310008,0.0,0.0,0.0
1129ANB310009,0.0,0.0,0.0
1129ANB310010,0.0,0.0,0.0
1129ANB310011,0.0,0.0,0.0
1129ANB310012,0.0,0.0,0.0
1129ANB310013,0.0,0.0,0.0
1129ANB310014,0.0,0.0,0.0
1129ANB310015,0.0,0.0,0.0
1129ANB310016,0.0,0.0,0.0
1129ANB310017,0.0,0.0,0.0
1129ANB310018,0.0,0.0,0.0
1129ANB310019,0.0,0.0,0.0
1129ANB310022,0.0,0.0,0.0
1129ANB310769,137.4,252.4,389.8
1129ANB310772,135.9,255.7,391.6
1129ANB310831,0.0,13.8,13.8
1129ANB310888,0.0,51.4,51.4
1129ANB312903,0.0,234.7,234.7
1129ANB313602,0.0,273.4,273.4
1129ANB313916,0.0,137.1,137.1
1129ANB314850,0.0,214.6,214.6
1129ANB316890,0.0,177.5,177.5
1129ANB317007,0.0,124.2,124.2
1129ANB318003,0.0,81.4,81.4
1129ANB318902,0.0,151.1,151.1
1134ANB310300,0.0,0.0,0.0
1134ANB310301,0.0,0.0,0.0
1134ANB310302,0.0,0.0,0.0
1134ANB310303,0.0,0.0,0.0
1134ANB310304,0.0,0.0,0.0
1134ANB310314,0.0,0.0,0.0
1155AN1010718,0.0,43.0,43.0
1155AN1010728,0.0,0.0,0.0
1155AN1010735,0.0,1.0,1.0
1155AN1010740,0.0,-0.1,-0.1
1155AN1010769,0.0,0.0,0.0
1155AN1010772,0.0,-0.5,-0.5
1155AN1010807,0.0,0.0,0.0
1155AN1010811,0.0,128.0,128.0
1155AN1010829,0.0,0.0,0.0
1155AN1010875,0.0,-3.0,-3.0
1155AN1010880,0.0,0.0,0.0
1155AN1010888,0.0,-3.3,-3.3
1155AN1011102,0.0,-1.0,-1.0
1155AN1011302,0.0,364.5,364.5
1155AN1012903,0.0,0.0,0.0
1155AN1013202,0.0,-0.8,-0.8
1155AN1013602,0.0,310.1,310.1
1155AN1014850,0.0,0.4,0.4
1155AN1015502,0.0,0.0,0.0
1155AN1016702,0.0,3.0,3.0
1155AN1016890,0.0,0.0,0.0
1155AN1018003,0.0,1.0,1.0
1155AN1018902,0.0,-0.2,-0.2
1140NA1010001,240.298,98.0,338.298
1140NA1010003,502.104,61.5,563.604
1140NA1010004,0.0,252.2,252.2
1140NA1010005,249.01,2.0,251.01
1140NA1010007,0.0,229.2,229.2
1140NA1010008,0.0,93.1,93.1
1140NA1010009,0.0,0.0,0.0
1140NA1010011,0.0,0.0,0.0
1140NA1010026,499.888,249.3,749.188
1140NA1010034,502.82,205.7,708.52
1140NA1010073,503.488,140.7,644.188
1140NA1010439,252.46,15.2,267.66
1140NA1010730,499.404,6.1,505.504
1140NA1010731,0.0,167.5,167.5
1140NA1010732,249.96,359.7,609.66
1140NA1010734,248.41,246.1,494.51
1140NA1010824,0.0,0.0,0.0
1140NA1010829,245.978,93.3,339.278
1140NA1010892,0.0,0.0,0.0
1140NA1011102,1231.292,300.0,1531.292
1140NA1011302,245.528,204.5,450.028
1140NA1013303,0.0,0.0,0.0
1140NA1013952,501.92,11.8,513.72
1140NA1015202,0.0,0.0,0.0
1140NA1015204,0.0,0.0,0.0
1140NA1016902,0.0,0.0,0.0
1140NA1018902,503.422,2.3000000000000007,505.72200000000004
1142AN1010004,0.0,0.0,0.0
1142AN1010005,0.0,0.0,0.0
1142AN1010009,0.0,0.0,0.0
1142AN1010020,0.0,0.0,0.0
1142AN1010022,0.0,0.0,0.0
1142AN1010036,0.0,0.0,0.0
1142AN1010043,0.0,0.0,0.0
1142AN1010049,0.0,0.0,0.0
1142AN1010051,0.0,0.0,0.0
1142AN1010053,0.0,0.0,0.0
1142AN1010054,0.0,0.0,0.0
1142AN1010055,0.0,0.0,0.0
1142AN1010056,0.0,0.0,0.0
1142AN1010057,0.0,0.0,0.0
1142AN1010058,0.0,0.0,0.0
1142AN1010059,0.0,0.0,0.0
1142AN1010060,0.0,0.0,0.0
1142AN1010061,0.0,0.0,0.0
1142AN1010062,0.0,0.0,0.0
1142AN1010063,0.0,0.0,0.0
1142AN1010064,0.0,0.0,0.0
1142AN1010067,0.0,0.0,0.0
1142AN1010068,0.0,0.0,0.0
1142AN1010085,0.0,0.0,0.0
1142AN1010093,0.0,0.0,0.0
1142AN1010096,0.0,0.0,0.0
1142AN1010110,0.0,0.0,0.0
1142AN1019122,0.0,0.0,0.0
1142AN1019215,0.0,0.0,0.0
1142AN1019512,0.0,0.0,0.0
1142AN1019519,0.0,0.0,0.0
1142AN1019605,0.0,0.0,0.0
1142AN1019645,0.0,0.0,0.0
1142AN1019768,0.0,0.0,0.0
1146PA1010003,0.0,0.0,0.0
1146PA1010008,0.0,0.0,0.0
1146PA1010073,0.0,0.0,0.0
1146PA1010225,0.0,0.0,0.0
1146PA1010730,0.0,0.0,0.0
1146PA1010734,0.0,0.0,0.0
1146PA1010807,0.0,0.0,0.0
1146PA1010824,0.0,0.0,0.0
1146PA1010829,0.0,0.0,0.0
1146PA1011102,0.0,80.0,80.0
1146PA1012922,0.0,0.0,0.0
1146PA1013303,0.0,0.0,0.0
1146PA1013952,0.0,0.0,0.0
1146PA1015102,0.0,0.0,0.0
1146PA1015502,0.0,0.0,0.0
1146PA1016002,0.0,0.0,0.0
