Fecha,Familia,Product_Code,Projection,SuperFamily,Stock_Cones,Stock_Ovillo,Stock_Total,Stock_Ovillo_sim,Stock_Cono_sim,Stock_Flow
2025-01,Bruni,1129ANB317007,10.6423792042678,Invierno,0.0,127.3,127.3,116.6576207957322,0.0,116.6576207957322
2025-01,Bruni,1129ANB318003,8.970936193829612,Invierno,0.0,84.4,84.4,75.42906380617039,0.0,75.42906380617039
2025-01,Bruni,1129ANB318902,16.20829958263539,Invierno,0.0,155.1,155.1,138.8917004173646,0.0,138.8917004173646
2025-01,Diana,1340IMK010002,20.9862323223558,Invierno,0.0,6.4,6.4,0.0,0.0,0.0
2025-01,Diana,1340IMK010003,19.52239374748428,Invierno,0.0,0.7,0.7,0.0,0.0,0.0
2025-01,Diana,1340IMK010004,24.911016907156245,Invierno,0.0,69.6,69.6,44.68898309284375,0.0,44.68898309284375
2025-01,Diana,1340IMK010005,20.37251118071711,Invierno,0.0,47.9,47.9,27.527488819282887,0.0,27.527488819282887
2025-01,Diana,1340IMK010006,24.12909071188326,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Diana,1340IMK010007,28.28117942321656,Invierno,0.0,9.3,9.3,0.0,0.0,0.0
2025-01,Diana,1340IMK010008,48.34455699184901,Invierno,0.0,4.1,4.1,0.0,0.0,0.0
2025-01,Diana,1340IMK010009,24.12757535103971,Invierno,0.0,4.1,4.1,0.0,0.0,0.0
2025-01,Diana,1340IMK010010,3.54594437391238,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Diana,1340IMK010011,20.957440466328297,Invierno,0.0,37.4,37.4,16.4425595336717,0.0,16.4425595336717
2025-01,Diana,1340IMK010012,15.367274314463868,Invierno,0.0,186.7,186.7,171.33272568553613,0.0,171.33272568553613
2025-01,Extra,1155AN1010718,27.50683003216134,Invierno,0.0,45.0,45.0,17.49316996783866,0.0,17.49316996783866
2025-01,Extra,1155AN1010735,25.52019196626427,Invierno,0.0,1.0,1.0,0.0,0.0,0.0
2025-01,Extra,1155AN1010740,11.550080349555628,Invierno,0.0,-0.1,-0.1,0.0,0.0,0.0
2025-01,Extra,1155AN1010769,21.184744592861144,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1010772,22.05153099537306,Invierno,0.0,-0.5,-0.5,0.0,0.0,0.0
2025-01,Extra,1155AN1010807,18.401026723255573,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1010811,21.72421305316576,Invierno,0.0,129.0,129.0,107.27578694683424,0.0,107.27578694683424
2025-01,Extra,1155AN1010829,26.089967643439937,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1010875,11.081833848897965,Invierno,0.0,-3.0,-3.0,0.0,0.0,0.0
2025-01,Extra,1155AN1010880,11.463704781473144,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1010888,14.688392656552436,Invierno,0.0,-3.3,-3.3,0.0,0.0,0.0
