Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,15.092994001780902,407.4,392.3070059982191
2025-02,21.1580450373973,407.4,371.1489609608218
2025-03,37.39989351756697,407.4,333.74906744325483
2025-04,45.834164066964505,407.4,287.91490337629034
2025-05,54.407081888586326,407.4,233.507821487704
2025-06,54.34531504879031,407.4,179.16250643891368
2025-07,55.223059135662766,407.4,123.93944730325092
2025-08,33.58195158828519,407.4,90.35749571496572
2025-09,21.80601695700061,407.4,68.55147875796511
2025-10,19.56439337503797,407.4,48.98708538292715
2025-11,17.956488488330084,407.4,31.030596894597064
2025-12,13.619757798181002,407.4,17.410839096416062
