Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,15.367274314463868,186.7,171.33272568553613
2025-02,21.54254364701265,186.7,149.79018203852348
2025-03,38.0795502170328,186.7,111.71063182149068
2025-04,46.66709415693644,186.7,65.04353766455424
2025-05,55.39580496306765,186.7,9.64773270148659
2025-06,55.332915653592615,186.7,-45.685182952106025
2025-07,56.2266107123249,186.7,-101.91179366443092
2025-08,34.19222600971889,186.7,-136.1040196741498
2025-09,22.202290959934054,186.7,-158.30631063408387
2025-10,19.91993104580924,186.7,-178.22624167989312
2025-11,18.28280620081881,186.7,-196.50904788071193
2025-12,13.867265444915011,186.7,-210.37631332562694
