Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,21.43487239162153,0.0,-21.43487239162153
2025-02,48.53767602448134,0.0,-69.97254841610287
2025-03,50.33064963756393,0.0,-120.30319805366679
2025-04,87.91927328788368,0.0,-208.2224713415505
2025-05,108.35076781428845,0.0,-316.5732391558389
2025-06,116.10567078617908,0.0,-432.678909942018
2025-07,96.19577320118788,0.0,-528.8746831432059
2025-08,72.66646346685962,0.0,-601.5411466100654
2025-09,34.166863120373826,0.0,-635.7080097304392
2025-10,36.0847226926045,0.0,-671.7927324230437
2025-11,30.97497683327664,0.0,-702.7677092563204
2025-12,26.30915400657615,0.0,-729.0768632628965
