Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,6.103115797406886,0.0,0.0,0.0,-6.103115797406886
2025-02,8.555625139369239,0.0,0.0,0.0,-14.658740936776125
2025-03,15.123300315461943,0.0,0.0,0.0,-29.782041252238066
2025-04,18.53384495780116,0.0,0.0,0.0,-48.315886210039224
2025-05,22.000454046815403,0.0,0.0,0.0,-70.31634025685463
2025-06,21.97547754608463,0.0,0.0,0.0,-92.29181780293926
2025-07,22.33040870169496,0.0,0.0,0.0,-114.62222650463423
2025-08,13.579448797371349,0.0,0.0,0.0,-128.20167530200558
2025-09,8.817643905052204,0.0,0.0,0.0,-137.01931920705778
2025-10,7.911204248791707,0.0,0.0,0.0,-144.93052345584948
2025-11,7.261019817946728,0.0,0.0,0.0,-152.1915432737962
2025-12,5.507387001222288,0.0,0.0,0.0,-157.6989302750185
