Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,61.97068169707128,852.62,790.6493183029287
2025-02,86.87331845425327,852.62,703.7759998486754
2025-03,153.5611089759941,852.62,550.2148908726813
2025-04,188.19158027294307,852.62,362.02331059973824
2025-05,223.3913266901343,852.62,138.63198390960395
2025-06,223.1377167590642,852.62,-84.50573284946026
2025-07,226.74166700330608,852.62,-311.2473998527663
2025-08,137.88493074326536,852.62,-449.1323305960317
2025-09,89.53384171250401,852.62,-538.6661723085357
2025-10,80.32990633254794,852.62,-618.9960786410836
2025-11,73.72797155926293,852.62,-692.7240502003465
2025-12,55.92168626070402,852.62,-748.6457364610505
