Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,48.6021683352529,155.8,107.19783166474711
2025-02,68.13272876349835,155.8,39.065102901248764
2025-03,120.43441614346642,155.8,-81.36931324221766
2025-04,147.5942915782884,155.8,-228.96360482050605
2025-05,175.20063628640855,155.8,-404.1642411069146
2025-06,175.00173589958348,155.8,-579.165977006498
2025-07,177.82823048776223,155.8,-756.9942074942602
2025-08,108.1399531416738,155.8,-865.134160635934
2025-09,70.21931544797998,155.8,-935.353476083914
2025-10,63.00088240136472,155.8,-998.3543584852787
2025-11,57.82313808094487,155.8,-1056.1774965662235
2025-12,43.85808151215455,155.8,-1100.035578078378
