Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,26.69953585102818,5.4,-21.299535851028182
2025-02,60.45911528952165,5.4,-81.75865114054983
2025-03,62.692464869953874,5.4,-144.4511160105037
2025-04,109.51330832572388,5.4,-253.96442433622758
2025-05,134.96302459327018,5.4,-388.92744892949776
2025-06,144.62262536608245,5.4,-533.5500742955802
2025-07,119.8226165464098,5.4,-653.37269084199
2025-08,90.5142242535215,5.4,-743.8869150955115
2025-09,42.558657226071006,5.4,-786.4455723215825
2025-10,44.94756626506422,5.4,-831.3931385866467
2025-11,38.58280512871642,5.4,-869.9759437153632
2025-12,32.770999881640186,5.4,-902.7469435970033
