Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,7.011563624134669,237.7,230.6884363758653
2025-02,15.87716490191531,237.7,214.81127147395
2025-03,16.463664710957193,237.7,198.3476067629928
2025-04,28.7592838055168,237.7,169.588322957476
2025-05,35.44263237837988,237.7,134.14569057909614
2025-06,37.97933959981667,237.7,96.16635097927947
2025-07,31.46661066368652,237.7,64.69974031559295
2025-08,23.76993539452558,237.7,40.92980492106737
2025-09,11.176326605949004,237.7,29.753478315118368
2025-10,11.803677875747436,237.7,17.949800439370932
2025-11,10.132228307900222,237.7,7.81757213147071
2025-12,8.605990455365214,237.7,-0.7884183238945042
