Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,22.601868797962467,311.1,288.49813120203754
2025-02,51.180252684506215,311.1,237.3178785175313
2025-03,53.0708426362776,311.1,184.2470358812537
2025-04,92.70593467314912,311.1,91.54110120810459
2025-05,114.24979787863258,311.1,-22.708696670527985
2025-06,122.42690741813765,311.1,-145.13560408866562
2025-07,101.4330388858138,311.1,-246.56864297447942
2025-08,76.62270356840916,311.1,-323.1913465428886
2025-09,36.02703778103589,311.1,-359.2183843239245
2025-10,38.049312961055975,311.1,-397.2676972849805
2025-11,32.66137300072279,311.1,-429.9290702857033
2025-12,27.74152494019299,311.1,-457.67059522589625
