Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,20.480750583247577,199.4,178.91924941675242
2025-02,14.810939331323253,199.4,164.10831008542917
2025-03,17.469516237700354,199.4,146.6387938477288
2025-04,16.18583768751062,199.4,130.45295616021818
2025-05,17.70384668546931,199.4,112.74910947474888
2025-06,14.988800965105,199.4,97.76030850964388
2025-07,21.651480404156217,199.4,76.10882810548766
2025-08,38.610861810104254,199.4,37.49796629538341
2025-09,43.86970438191501,199.4,-6.3717380865316
2025-10,52.667059295416,199.4,-59.0387973819476
2025-11,43.85805754831156,199.4,-102.89685493025917
2025-12,26.36817183229364,199.4,-129.2650267625528
