Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,1.9100288219398915,271.7,269.7899711780601
2025-02,2.2052460699096303,271.7,267.5847251081505
2025-03,3.534259532752971,271.7,264.05046557539754
2025-04,4.451633662963541,271.7,259.598831912434
2025-05,4.973814495664654,271.7,254.62501741676934
2025-06,4.154554576642612,271.7,250.47046284012671
2025-07,4.59459391675223,271.7,245.8758689233745
2025-08,3.386358458752663,271.7,242.48951046462184
2025-09,2.3429426802415816,271.7,240.14656778438027
2025-10,2.8200339330129065,271.7,237.32653385136737
2025-11,2.2406698040262136,271.7,235.08586404734115
2025-12,1.3200348922549054,271.7,233.76582915508624
