Month,Familia,Forecast_Family
2025-07,Ukryl Estampado,1036.3305651772087
2025-07,Ukryl Etiqueta Dorada,12063.64249380423
2025-07,Vizon Anatolia,365.8527667737658
2025-08,Batik Soft,182.21917586719727
2025-08,Bonbon Classic,1104.0504903293986
2025-08,Bruni,267.5733028207555
2025-08,Diana,557.4637680474206
2025-08,Extra,1086.1940630591619
2025-08,Glaciar,487.48788217761427
2025-08,Glaciar Estampado Ac,172.47838689746274
2025-08,Happy Soft,629.6582205984611
2025-08,Happy Soft Estampado,140.32940011088652
2025-08,Krehuel,536.9673138601529
2025-08,Krehuel Estampado,78.56861715723049
2025-08,Mandala,796.3541730607924
2025-08,Mosaico,313.05054810416823
2025-08,Nako Melange,433.78036140956254
2025-08,Sport Ukryl,826.7903454490905
2025-08,Super Economico 100 gr,6016.000954446224
2025-08,Super Económico 50g,803.5678864566894
2025-08,Terra,82.32298493770796
2025-08,Tiramisu,108.36585582806086
2025-08,Ukryl Estampado,630.20780474594
2025-08,Ukryl Etiqueta Dorada,7336.077800581114
2025-08,Vizon Anatolia,222.4804292723894
2025-09,Batik Soft,118.32172494218281
2025-09,Bonbon Classic,716.901269130114
2025-09,Bruni,173.74535137455936
2025-09,Diana,361.9820708453423
2025-09,Extra,705.3064231658293
2025-09,Glaciar,316.54411141506216
2025-09,Glaciar Estampado Ac,111.99666640917332
2025-09,Happy Soft,408.86062858462924
2025-09,Happy Soft Estampado,91.12112708337001
2025-09,Krehuel,348.6729566805224
2025-09,Krehuel Estampado,51.01754117876573
2025-09,Mandala,517.1025440820298
2025-09,Mosaico,203.27542735006384
2025-09,Nako Melange,281.66980979778674
2025-09,Sport Ukryl,536.8658889686608
2025-09,Super Economico 100 gr,3906.414386939593
2025-09,Super Económico 50g,521.7866779454337
2025-09,Terra,53.455392572502696
2025-09,Tiramisu,70.36600250983932
2025-09,Ukryl Estampado,409.2174941231825
2025-09,Ukryl Etiqueta Dorada,4763.589647158924
2025-09,Vizon Anatolia,144.46486234012903
2025-10,Batik Soft,106.15844132134052
2025-10,Bonbon Classic,643.2049680591798
2025-10,Bruni,155.88460781622868
2025-10,Diana,324.77089432215377
2025-10,Extra,632.8020536702038
2025-10,Glaciar,284.00388427139694
2025-10,Glaciar Estampado Ac,100.48358866466536
2025-10,Happy Soft,366.8304114854383
2025-10,Happy Soft Estampado,81.75402131215662
2025-10,Krehuel,312.8299357552004
2025-10,Krehuel Estampado,45.773019741146804
2025-10,Mandala,463.9452316121327
2025-10,Mosaico,182.37903932652108
2025-10,Nako Melange,252.7146049470014
2025-10,Sport Ukryl,481.67693633065346
2025-10,Super Economico 100 gr,3504.8412510501116
2025-10,Super Económico 50g,468.14784402437095
2025-10,Terra,47.96026392017338
2025-10,Tiramisu,63.1324902684458
2025-10,Ukryl Estampado,367.15059181878473
2025-10,Ukryl Etiqueta Dorada,4273.900268813446
2025-10,Vizon Anatolia,129.6141061096265
2025-11,Batik Soft,97.43378151238062
2025-11,Bonbon Classic,590.3429962376214
2025-11,Bruni,143.07318975355292
2025-11,Diana,298.0795117665694
2025-11,Extra,580.7950481418186
2025-11,Glaciar,260.6629493080551
2025-11,Glaciar Estampado Ac,92.2253181345909
2025-11,Happy Soft,336.6823562958991
2025-11,Happy Soft Estampado,75.03504526950783
2025-11,Krehuel,287.11992406370206
2025-11,Krehuel Estampado,42.01115190756143
2025-11,Mandala,425.81576903315204
2025-11,Mosaico,167.39016934497826
2025-11,Nako Melange,231.94518774875687
2025-11,Sport Ukryl,442.0901888709186
2025-11,Super Economico 100 gr,3216.794938206645
2025-11,Super Económico 50g,429.67298862359195
2025-11,Terra,44.01863684046861
2025-11,Tiramisu,57.94392972037439
2025-11,Ukryl Estampado,336.97622252316796
2025-11,Ukryl Etiqueta Dorada,3922.648635512349
2025-11,Vizon Anatolia,118.9617362351868
2025-12,Batik Soft,73.90222795631465
2025-12,Bonbon Classic,447.76731440750723
2025-12,Bruni,108.51911236002469
2025-12,Diana,226.08934689536667
2025-12,Extra,440.5253227108038
2025-12,Glaciar,197.70938170024132
2025-12,Glaciar Estampado Ac,69.95167772750493
2025-12,Happy Soft,255.36909127033172
2025-12,Happy Soft Estampado,56.91308429320213
2025-12,Krehuel,217.77664532356525
2025-12,Krehuel Estampado,31.864900210051484
2025-12,Mandala,322.9755998588928
2025-12,Mosaico,126.96321810117585
2025-12,Nako Melange,175.92734134208618
2025-12,Sport Ukryl,335.31953094766584
2025-12,Super Economico 100 gr,2439.89619536484
2025-12,Super Económico 50g,325.90124963893373
2025-12,Terra,33.38755084341238
2025-12,Tiramisu,43.94970036481299
2025-12,Ukryl Estampado,255.59198489694853
2025-12,Ukryl Etiqueta Dorada,2975.2768408903894
2025-12,Vizon Anatolia,90.23089541294912
