Date,Año,Mes,RUPR,Familia,Super Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek,Sales_LastMonth,Sales_LastYear
2023-06-01,2023,6,R20,Natura 80% Algodón 2,CONOS VERANO,Natura 80% Algodón 20% Pes Cono c01102            ,4528IMQC01102,KG,96.0,2023,6,2,3,,
2023-11-01,2023,11,R20,Natura 80% Algodón 2,CONOS VERANO,Natura 80% Algodón 20% Pes Cono c01102            ,4528IMQC01102,KG,97.2,2023,11,4,2,96.0,
