Date,Año,Mes,RUPR,Familia,Super Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek,Sales_LastMonth,Sales_LastYear
2022-01-01,2022,1,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 20 mm c002 ,VELCROR120002,UN,69.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Plano Rollo,ELASTICOS & VELCRO,Elastico Plano Rollo 100 Metros 08mm c002         ,ELAPLAR308002,UN,21.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Plano Rollo,ELASTICOS & VELCRO,Elastico Plano Rollo 100 Metros 06mm c002         ,ELAPLAR306002,UN,20.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 2.0mm Blanco 0370-1200 ,CORELAR320BCO,UN,12.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Plano Rollo,ELASTICOS & VELCRO,Elastico Plano Rollo 100 Metros 08mm c001         ,ELAPLAR308001,UN,41.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Pretina Rollo,ELASTICOS & VELCRO,Elastico Pretina Rollo 50M 30mm Blanco 0141-1305  ,ELAPRER230BCO,UN,38.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Pretina Rollo,ELASTICOS & VELCRO,Elastico Pretina Rollo 50M 20mm Negro 0141-1200   ,ELAPRER220NGO,UN,24.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Velcro Autoadhesivo Rollo,ELASTICOS & VELCRO,Velcro Autoadhesivo Rollo 25M Ancho 20mm c001     ,VELCROAA20001,UN,70.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Velcro Autoadhesivo Rollo,ELASTICOS & VELCRO,Velcro Autoadhesivo Rollo 25M Ancho 20mm c002     ,VELCROAA20002,UN,35.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Pretina Rollo,ELASTICOS & VELCRO,Elastico Pretina Rollo 50M 25mm Negro 0141-1253   ,ELAPRER225NGO,UN,7.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 100 mm c002          ,VELCROR195002,UN,27.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Pretina Rollo,ELASTICOS & VELCRO,Elastico Pretina Rollo 50M 25mm Blanco 0141-1250  ,ELAPRER225BCO,UN,14.0,2022,1,1,5,,
2022-01-01,2022,1,R30,Elástico Pretina Rollo,ELASTICOS & VELCRO,Elastico Pretina Rollo 50M 20mm Blanco 0141-1200  ,ELAPRER220BCO,UN,27.0,2022,1,1,5,,
