Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,9.041825852620004,935.85,926.80817414738
2025-02,20.474542879751173,935.85,906.3336312676288
2025-03,21.230869060362004,935.85,885.1027622072668
2025-04,37.086796862326125,935.85,848.0159653449407
2025-05,45.70537000058847,935.85,802.3105953443522
2025-06,48.97660394566242,935.85,753.3339913986898
2025-07,40.57805491686778,935.85,712.755936481822
2025-08,30.65273709070185,935.85,682.1031993911201
2025-09,14.41253395963673,935.85,667.6906654314835
2025-10,15.221540514239235,935.85,652.4691249172442
2025-11,13.066107471901743,935.85,639.4030174453425
2025-12,11.09793352211442,935.85,628.305083923228
