Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,61.60878358732136,1185.9,1124.2912164126788
2025-02,139.50851320172336,1185.9,984.7827032109553
2025-03,144.66193428527322,1185.9,840.1207689256821
2025-04,252.70033719748352,1185.9,587.4204317281985
2025-05,311.425180604288,1185.9,275.9952511239105
2025-06,333.71456634015254,1185.9,-57.71931521624202
2025-07,276.48891324790844,1185.9,-334.20822846415047
2025-08,208.86023205511023,1185.9,-543.0684605192607
2025-09,98.20347130517732,1185.9,-641.2719318244381
2025-10,103.71584353570285,1185.9,-744.9877753601409
2025-11,89.0292514682552,1185.9,-834.0170268283961
2025-12,75.61859692667109,1185.9,-909.6356237550672
