Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,15.998060286950116,250.3,251.3,501.6,485.6019397130499
2025-02,11.569219563792869,250.3,251.3,501.6,474.03272014925705
2025-03,13.645904861669775,250.3,251.3,501.6,460.3868152875873
2025-04,12.643189323900472,250.3,251.3,501.6,447.74362596368684
2025-05,13.828946621552454,250.3,251.3,501.6,433.9146793421344
2025-06,11.708152027640324,250.3,251.3,501.6,422.20652731449405
2025-07,16.912548561122385,250.3,251.3,501.6,405.2939787533717
2025-08,30.15997350577573,250.3,251.3,501.6,375.13400524759595
2025-09,34.26779563668065,250.3,251.3,501.6,340.8662096109153
2025-10,41.139644092615946,250.3,251.3,501.6,299.72656551829937
2025-11,34.258697984454344,250.3,251.3,501.6,265.46786753384504
2025-12,20.5968819802308,250.3,251.3,501.6,244.87098555361425
