Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,12.709881691635356,102.6,89.89011830836463
2025-02,13.94513581515242,102.6,75.94498249321221
2025-03,25.11492281004301,102.6,50.830059683169196
2025-04,28.79586515783671,102.6,22.034194525332484
2025-05,30.33276369125834,102.6,-8.298569165925855
2025-06,25.832306783461856,102.6,-34.130875949387715
2025-07,27.956796995505176,102.6,-62.08767294489289
2025-08,20.81074072953208,102.6,-82.89841367442497
2025-09,15.329419424671585,102.6,-98.22783309909656
2025-10,19.14055389655486,102.6,-117.36838699565142
2025-11,14.121354770719856,102.6,-131.48974176637128
2025-12,8.705900788323877,102.6,-140.19564255469516
