Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,11.464540375591955,0.0,150.8,150.8,139.33545962440806
2025-02,13.236518902849344,0.0,150.8,150.8,126.09894072155872
2025-03,21.21363858264456,0.0,150.8,150.8,104.88530213891416
2025-04,26.71998101816913,0.0,150.8,150.8,78.16532112074503
2025-05,29.854260025426186,0.0,150.8,150.8,48.31106109531885
2025-06,24.936827203552262,0.0,150.8,150.8,23.374233891766586
2025-07,27.57806943172548,0.0,150.8,150.8,-4.203835539958895
2025-08,20.3258939502113,0.0,150.8,150.8,-24.529729490170194
2025-09,14.063013419895167,0.0,150.8,150.8,-38.59274291006536
2025-10,16.92665184639988,0.0,150.8,150.8,-55.519394756465246
2025-11,13.449142306940878,0.0,150.8,150.8,-68.96853706340613
2025-12,7.923227725996479,0.0,150.8,150.8,-76.89176478940261
