Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,5.502979380284139,2.2,-3.302979380284139
2025-02,6.353529073367684,2.2,-9.656508453651824
2025-03,10.182546519669383,2.2,-19.839054973321208
2025-04,12.825590888721178,2.2,-32.664645862042384
2025-05,14.330044812204568,2.2,-46.994690674246954
2025-06,11.969677057705086,2.2,-58.96436773195204
2025-07,13.237473327228226,2.2,-72.20184105918027
2025-08,9.756429096101424,2.2,-81.9582701552817
2025-09,6.75024644154968,2.2,-88.70851659683137
2025-10,8.124792886271942,2.2,-96.83330948310332
2025-11,6.455588307331622,2.2,-103.28889779043494
2025-12,3.80314930847831,2.2,-107.09204709891326
