Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,14.980857299358032,0.0,268.5,268.5,253.51914270064196
2025-02,21.000846710814223,0.0,268.5,268.5,232.51829598982775
2025-03,37.122022822757735,0.0,268.5,268.5,195.39627316707
2025-04,45.49362911305332,0.0,268.5,268.5,149.9026440540167
2025-05,54.0028525653177,0.0,268.5,268.5,95.89979148869898
2025-06,53.9415446357772,0.0,268.5,268.5,41.95824685292178
2025-07,54.81276733083956,0.0,268.5,268.5,-12.85452047791778
2025-08,33.33244712869352,0.0,268.5,268.5,-46.186967606611304
2025-09,21.644004381215662,0.0,268.5,268.5,-67.83097198782697
2025-10,19.419035432291697,0.0,268.5,268.5,-87.25000742011866
2025-11,17.823076826870604,0.0,268.5,268.5,-105.07308424698927
2025-12,13.51856682658809,0.0,268.5,268.5,-118.59165107357735
