Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,7.002583396117306,66.2,59.1974166038827
2025-02,5.156179061514831,66.2,54.04123754236787
2025-03,5.965356951863136,66.2,48.07588059050473
2025-04,5.290027853248097,66.2,42.78585273725663
2025-05,5.520227304616219,66.2,37.26562543264041
2025-06,4.379885364019181,66.2,32.88574006862123
2025-07,6.728785549676505,66.2,26.156954518944726
2025-08,11.527250345417386,66.2,14.62970417352734
2025-09,13.385477201622065,66.2,1.2442269719052756
2025-10,16.29634623047861,66.2,-15.052119258573333
2025-11,12.747809795485242,66.2,-27.799929054058573
2025-12,9.067487758324908,66.2,-36.86741681238348
